title,date,datetime,subject,tokens,score
"TN plans big bang in defence, aerospace",45 minutes ago,2023-10-22 19:39:13.765204,aerospace,"['tn', 'plans', 'big', 'bang', 'defence', 'aerospace']",0.1027
Park Aerospace Corp. (NYSE:PKE) is favoured by institutional owners who hold 79% of the company,9 hours ago,2023-10-22 11:24:13.756195,aerospace,"['park', 'aerospace', 'corp', 'nysepke', 'favoured', 'institutional', 'owners', 'hold', 'company']",0.4215
Colonel General Afzalov becomes new commander of Russian ...,Yesterday,2023-10-21 20:24:13.759196,aerospace,"['colonel', 'general', 'afzalov', 'becomes', 'new', 'commander', 'russian']",0.0
"AeroDef Manufacturing 2023 Exhibitor Preview: Aerospace and Defense Global Suppliers, Distributors and Equipment Builders to Demonstrate Innovative Technologies and Solutions for Sector Manufacturers",Yesterday,2023-10-21 20:24:13.755205,aerospace,"['aerodef', 'manufacturing', 'exhibitor', 'preview', 'aerospace', 'defense', 'global', 'suppliers', 'distributors', 'equipment', 'builders', 'demonstrate', 'innovative', 'technologies', 'solutions', 'sector', 'manufacturers']",0.6249
How women at NASA helped to inspire these Forsyth County ...,2 days ago,2023-10-20 20:24:13.765204,aerospace,"['women', 'nasa', 'helped', 'inspire', 'forsyth', 'county']",0.5719
ETS engineering university to expand into aerospace industry in Longueuil,2 days ago,2023-10-20 20:24:13.764194,aerospace,"['ets', 'engineering', 'university', 'expand', 'aerospace', 'industry', 'longueuil']",0.3182
BluJ Aerospace: Conjuring hydrogen tech for India and the globe,2 days ago,2023-10-20 20:24:13.763199,aerospace,"['bluj', 'aerospace', 'conjuring', 'hydrogen', 'tech', 'india', 'globe']",0.0
Carter Manufacturing joins FETCH aviation hydrogen project,2 days ago,2023-10-20 20:24:13.761207,aerospace,"['carter', 'manufacturing', 'joins', 'fetch', 'aviation', 'hydrogen', 'project']",0.0
Aerospace Maintenance Chemicals Market is estimated to be US ...,2 days ago,2023-10-20 20:24:13.760199,aerospace,"['aerospace', 'maintenance', 'chemicals', 'market', 'estimated', 'us']",0.0
Oxcart Assembly and Quub Team Up to Challenge Aerospace ...,2 days ago,2023-10-20 20:24:13.760199,aerospace,"['oxcart', 'assembly', 'quub', 'team', 'challenge', 'aerospace']",0.0772
Bezos' Blue Origin sees third executive departure amid restructuring,2 days ago,2023-10-20 20:24:13.759196,aerospace,"['bezos', 'blue', 'origin', 'sees', 'third', 'executive', 'departure', 'amid', 'restructuring']",0.0
