title,desc,date,datetime,link,img,media,site,log_date,subject
7 Simple Ways To Shield Yourself From Cybersecurity Threats,,12 hours ago,2023-10-22 08:24:07.403199,news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL3RpbW1hdXJlci8yMDIzLzEwLzIyLzctc2ltcGxlLXdheXMtdG8tcHJvdGVjdC15b3Vyc2VsZi1mcm9tLWN5YmVyYXR0YWNrcy1hY2NvcmRpbmctdG8tYW4taW50ZXJuYXRpb25hbC1leHBlcnQv0gGPAWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvdGltbWF1cmVyLzIwMjMvMTAvMjIvNy1zaW1wbGUtd2F5cy10by1wcm90ZWN0LXlvdXJzZWxmLWZyb20tY3liZXJhdHRhY2tzLWFjY29yZGluZy10by1hbi1pbnRlcm5hdGlvbmFsLWV4cGVydC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/NIjzR9QHtZJllEvJIVkODXFQ7_rbx1BMBXx2rNUbttjuu9YWLIp2_juQaI9jJ2rDtzi6snbZ=s0-h14-rp,Forbes,,1698017044.668618,Cybersecurity-threats
Digital supervision and cybersecurity in BFSI,,17 hours ago,2023-10-22 03:24:07.412211,news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2J1c2luZXNzL2RpZ2l0YWwtdHJhbnNmb3JtYXRpb24tZGlnaXRhbC1zdXBlcnZpc2lvbi1hbmQtY3liZXJzZWN1cml0eS1pbi1iZnNpLTMyODMwOTEv0gF8aHR0cHM6Ly93d3cuZmluYW5jaWFsZXhwcmVzcy5jb20vYnVzaW5lc3MvZGlnaXRhbC10cmFuc2Zvcm1hdGlvbi1kaWdpdGFsLXN1cGVydmlzaW9uLWFuZC1jeWJlcnNlY3VyaXR5LWluLWJmc2ktMzI4MzA5MS9saXRlLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/7Pto2nueu4Ypd82Lbwt-H8zc7N11NtU3pdvipt8Y5bjvxZT2a5nXJ1N4gcwQ-eUIGRfvaGtl=s0-h14-rp,The Financial Express,,1698017044.668618,Cybersecurity-threats
What Is Generative AI and How It Impacts the Cybersecurity Industry,,2 days ago,2023-10-20 20:24:07.416185,news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LmNyb3dkc3RyaWtlLmNvbS9jeWJlcnNlY3VyaXR5LTEwMS9zZWNvcHMvZ2VuZXJhdGl2ZS1haS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.crowdstrike.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",CrowdStrike,,1698017044.668618,Cybersecurity-threats
"Cybersecurity risks continue to grow for municipalities, school districts",,2 days ago,2023-10-20 20:24:07.416185,news.google.com/./articles/CBMipwFodHRwOi8vd3d3LmRlcmJ5aW5mb3JtZXIuY29tL25ld3MvZGVyYnlfbmV3cy9jeWJlcnNlY3VyaXR5LXJpc2tzLWNvbnRpbnVlLXRvLWdyb3ctZm9yLW11bmljaXBhbGl0aWVzLXNjaG9vbC1kaXN0cmljdHMvYXJ0aWNsZV9hOWYyNDgzOC02Zjg4LTExZWUtYjViYS01ZjgzYzUyOWUxMTAuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=http://www.derbyinformer.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Derby Informer,,1698017044.668618,Cybersecurity-threats
Passwordless Revolution: Reinventing Cybersecurity for the Digital Age,,2 days ago,2023-10-20 20:24:07.413201,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmV4cHJlc3Njb21wdXRlci5pbi9ndWVzdC1ibG9ncy9wYXNzd29yZGxlc3MtcmV2b2x1dGlvbi1yZWludmVudGluZy1jeWJlcnNlY3VyaXR5LWZvci10aGUtZGlnaXRhbC1hZ2UvMTA0ODAwL9IBfGh0dHBzOi8vd3d3LmV4cHJlc3Njb21wdXRlci5pbi9hbXAvZ3Vlc3QtYmxvZ3MvcGFzc3dvcmRsZXNzLXJldm9sdXRpb24tcmVpbnZlbnRpbmctY3liZXJzZWN1cml0eS1mb3ItdGhlLWRpZ2l0YWwtYWdlLzEwNDgwMC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/S-4R7-TEdGhSjvvqtG0sS5TfAX6p6GCAd7y57m9wtD5L__aWjAf987wGW-4-6JcDHWFVpm0mL9wrZyKC3vJsCRxtMtfqNciyDmxjk1wJF0EI7aP2HFks88x-ojiHbe7ZggVaazYgPcawChtcbDCtiMuJSyHsEIsgL6TKw_bNW-hFuyMi1RQV-6KgZMXO=s0-h14-rp,Express Computer,,1698017044.668618,Cybersecurity-threats
FAIR Insitute wants to quantify just how much a cyberattack costs,,2 days ago,2023-10-20 20:24:07.413201,news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LmN5YmVyc2VjdXJpdHlkaXZlLmNvbS9uZXdzL2N5YmVyLXJpc2stbWFuYWdlbWVudC1tb2RlbC82OTcyNTYv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/BqycVoIrQMuB2KkaLNlg3X_2j2h6p2dVKQWjMXFmjZv64KOhX-RxvbBElNk1FRlFWhkFCcSTRh4=s0-h14-rp,Cybersecurity Dive,,1698017044.668618,Cybersecurity-threats
Table of Experts: Constantly catching up - Milwaukee Business ...,,2 days ago,2023-10-20 20:24:07.412211,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9taWx3YXVrZWUvbmV3cy8yMDIzLzEwLzIwL3RhYmxlLW9mLWV4cGVydHMtY29uc3RhbnRseS1jYXRjaGluZy11cC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.bizjournals.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Business Journals,,1698017044.668618,Cybersecurity-threats
Island tech firm collaborates with Microsoft on global cybersecurity ...,,2 days ago,2023-10-20 20:24:07.411215,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LnNvb2tlbmV3c21pcnJvci5jb20vbmV3cy9pc2xhbmQtdGVjaC1maXJtLWNvbGxhYm9yYXRlcy13aXRoLW1pY3Jvc29mdC1vbi1nbG9iYWwtY3liZXJzZWN1cml0eS1yZXBvcnQtNjUxNzcwOdIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/NgtCEV7KUok5EFgMY06Oazszytd_SigbBLma8SKO2EamqVdiSBRE-IVjegY2GkZO1t6vi-CvJA=s0-h14-rp,Sooke News Mirror,,1698017044.668618,Cybersecurity-threats
Change From Within: 3 Cybersecurity Transformation Traps for ...,,2 days ago,2023-10-20 20:24:07.411215,news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LmRhcmtyZWFkaW5nLmNvbS92dWxuZXJhYmlsaXRpZXMtdGhyZWF0cy9jaGFuZ2UtZnJvbS13aXRoaW4tMy1jeWJlcnNlY3VyaXR5LXRyYW5zZm9ybWF0aW9uLXRyYXBzLWZvci1jaXNvcy10by1hdm9pZNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.darkreading.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Dark Reading,,1698017044.668618,Cybersecurity-threats
Bar Cybersecurity Panel Considers Data Privacy Certification Course,,2 days ago,2023-10-20 20:24:07.410192,news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmZsb3JpZGFiYXIub3JnL3RoZS1mbG9yaWRhLWJhci1uZXdzL2Jhci1jeWJlcnNlY3VyaXR5LXBhbmVsLWNvbnNpZGVycy1kYXRhLXByaXZhY3ktY2VydGlmaWNhdGlvbi1jb3Vyc2Uv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.floridabar.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Florida Bar,,1698017044.668618,Cybersecurity-threats
