title,desc,date,datetime,link,img,media,site,log_date,subject
"American troops at risk across Middle East amid rising tensions, US ...",,1 hour ago,2023-10-22 19:23:59.953709,news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzljYWQxYWRhLTU1NjYtNDljNS04MGI2LTllODNmZjAwNzZmY9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/281oPpXmEcGU9cV4N2LudyLEG2aBqbqG2iDoMoXUXKl-SWD4AUdO5652KVTGNmcduSWZB_7j=s0-h14-rp,Financial Times,,1698017037.451815,Middle-East-Tensions
"Stock Markets This Week: Middle East Tensions, Weak Global Cues ...",,14 hours ago,2023-10-22 06:23:59.962709,news.google.com/./articles/CBMigwFodHRwczovL3d3dy5nb29kcmV0dXJucy5pbi9uZXdzL21hcmtldHMtdGhpcy13ZWVrLW1pZGRsZS1lYXN0LXRlbnNpb25zLXdlYWstZ2xvYmFsLWN1ZXMtdG8td2VpZ2gtaW4tYmlnLWVhcm5pbmdzLWFoZWFkLTEzMDc3MjUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.goodreturns.in&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Goodreturns,,1698017037.451815,Middle-East-Tensions
Iran to Host Armenia-Azerbaijan Peace Process Talks Amid Middle ...,,14 hours ago,2023-10-22 06:23:59.962709,news.google.com/./articles/CBMigwFodHRwczovL3d3dy51c25ld3MuY29tL25ld3Mvd29ybGQvYXJ0aWNsZXMvMjAyMy0xMC0yMi9pcmFuLXRvLWhvc3QtYXJtZW5pYS1hemVyYmFpamFuLXBlYWNlLXByb2Nlc3MtdGFsa3MtYW1pZC1taWRkbGUtZWFzdC10ZW5zaW9uc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.usnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",U.S. News & World Report,,1698017037.451815,Middle-East-Tensions
Iran's chilling warning: Regime says conflict with Hamas could spiral into 'out of control' Middle East confli,,15 hours ago,2023-10-22 05:23:59.964709,news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTEyNjU4NjA1L0lzcmFlbC1XZXN0LUJhbmstR2F6YS1TeXJpYS1haXJzdHJpa2VzLUhhbWFzLXRlcnJvci1mZWFycy13aWRlci1yZWdpb25hbC13YXItZ3Jvdy5odG1s0gGMAWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9uZXdzL2FydGljbGUtMTI2NTg2MDUvYW1wL0lzcmFlbC1XZXN0LUJhbmstR2F6YS1TeXJpYS1haXJzdHJpa2VzLUhhbWFzLXRlcnJvci1mZWFycy13aWRlci1yZWdpb25hbC13YXItZ3Jvdy5odG1s?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/ThH9q7qJiI_Rajme06Ll6H98IGOclE-b6BgOsPmUEDsPV0vU3iJiUDrzGDne-CC59un3dL4HQQ=s0-h14-rp,Daily Mail,,1698017037.451815,Middle-East-Tensions
Middle East Tensions Likely to Keep Investors Cautious: Experts,,17 hours ago,2023-10-22 03:23:59.957709,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnBndXJ1cy5jb20vbWlkZGxlLWVhc3QtdGVuc2lvbnMtbGlrZWx5LXRvLWtlZXAtaW52ZXN0b3JzLWNhdXRpb3VzLXNheS1leHBlcnRzL9IBWmh0dHBzOi8vd3d3LnBndXJ1cy5jb20vbWlkZGxlLWVhc3QtdGVuc2lvbnMtbGlrZWx5LXRvLWtlZXAtaW52ZXN0b3JzLWNhdXRpb3VzLXNheS1leHBlcnRzLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/8wFLN2Uvmm4YLqjEgPTrG4shLvWCdHCkwSYf5cprZ8KbsP4ZfkOuDoKftCI-pWqEgt7VTDaJCQ=s0-h14-rp,PGurus,,1698017037.451815,Middle-East-Tensions
"US to Deploy THAAD, Patriot Systems to Middle East Amid Rising ...",,19 hours ago,2023-10-22 01:23:59.963709,news.google.com/./articles/CBMicGh0dHBzOi8vd3d3Lm5ld3MxOC5jb20vd29ybGQvdXMtdG8tZGVwbG95LXRoYWFkLXBhdHJpb3Qtc3lzdGVtcy10by1taWRkbGUtZWFzdC1hbWlkLXJpc2luZy10ZW5zaW9ucy04NjI4ODIzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/rkfB9ZQ-nalH3UTwCECsZX2h4aIq1ufnQm03aGOnqcI5KFhke3-DSgwMOFqmw9YNbyOOBLoVVw=s0-h14-rp,News18,,1698017037.451815,Middle-East-Tensions
Palestine supporters hold rally in Green Bay as tensions in Middle ...,,2 days ago,2023-10-20 20:23:59.966709,news.google.com/./articles/CBMieGh0dHBzOi8vZm94MTFvbmxpbmUuY29tL25ld3MvbG9jYWwvcGFsZXN0aW5lLWlzcmFlbC1oYW1hcy13YXItZ3JlZW4tYmF5LWxvY2FsLXJlYWN0aW9uLXN1cHBvcnQtZGVtb25zdHJhdGlvbi1taWRkbGUtZWFzdNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://fox11online.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Fox11online.com,,1698017037.451815,Middle-East-Tensions
Israeli-Palestinian conflict calls for urgent regional cooperation,,2 days ago,2023-10-20 20:23:59.965709,news.google.com/./articles/CBMiJWh0dHBzOi8vd3d3LmFyYWJuZXdzLmNvbS9ub2RlLzIzOTQ4MjbSASlodHRwczovL3d3dy5hcmFibmV3cy5jb20vbm9kZS8yMzk0ODI2L2FtcA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.arabnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Arab News,,1698017037.451815,Middle-East-Tensions
"Israel-Hamas war: Chicago-area safety concerns raised after anti-Muslim, anti-Semitic threats amid Middle East conflict",,2 days ago,2023-10-20 20:23:59.964709,news.google.com/./articles/CBMiWmh0dHBzOi8vYWJjN2NoaWNhZ28uY29tL2NoaWNhZ28taGF0ZS1jcmltZXMtdGhyZWF0cy1pc3JhZWwtaGFtYXMtd2FyLW1pZGRsZS1lYXN0LzEzOTQ1MTkxL9IBXmh0dHBzOi8vYWJjN2NoaWNhZ28uY29tL2FtcC9jaGljYWdvLWhhdGUtY3JpbWVzLXRocmVhdHMtaXNyYWVsLWhhbWFzLXdhci1taWRkbGUtZWFzdC8xMzk0NTE5MS8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/JEv7D6g6_EseDWHe82O41xyZ64HUHyw1OHIu1DyakGovI5_eBPgdqTFopu3qf6xhpGHneyzmVHybF4vB0koekpuJbm13Uu0Cmj1zmRQ8OHeJ1yIOFbKuUsv_Ombb-XotsH1jge8vJKO5yDMbZYYbt5PVfIrRVh410cfBe160lYyZUTOF3TCbMawAq3Hh=s0-h14-rp,WLS-TV,,1698017037.451815,Middle-East-Tensions
Colorado lawmakers with Israeli and Palestinian roots fear for the ...,,2 days ago,2023-10-20 20:23:59.963709,news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmNwci5vcmcvMjAyMy8xMC8yMC9pc3JhZWwtcGFsZXN0aW5lLWF0dGFja3MtY29sb3JhZG8tbGF3bWFrZXJzLXJlYWN0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.cpr.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Colorado Public Radio,,1698017037.451815,Middle-East-Tensions
