title,desc,date,datetime,link,img,media,site,log_date,subject
The Russia-Ukraine tango goes on,,4 hours ago,2023-10-22 16:24:02.260986,news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmRhaWx5cGlvbmVlci5jb20vMjAyMy9jb2x1bW5pc3RzL3RoZS1ydXNzaWEtdWtyYWluZS10YW5nby1nb2VzLW9uLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.dailypioneer.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Daily Pioneer,,1698017039.974711,Rusia-China-Alliance
"Russia to boost its gas sales to China, Hungary",,7 hours ago,2023-10-22 13:24:02.253981,news.google.com/./articles/CBMiTGh0dHBzOi8vdHZwd29ybGQuY29tLzczNTk1MDk0L3J1c3NpYS10by1ib29zdC1pdHMtZ2FzLXNhbGVzLXRvLWNoaW5hLWh1bmdhcnnSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://tvpworld.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",TVP World,,1698017039.974711,Rusia-China-Alliance
"Blame Hamas for attacking Israel, but wars do not happen in isolation. Look at Ukraine.",,14 hours ago,2023-10-22 06:24:02.260986,news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LnlhaG9vLmNvbS9uZXdzL2JsYW1lLWhhbWFzLWF0dGFja2luZy1pc3JhZWwtd2Fycy0wOTExMjE0OTkuaHRtbNIBVGh0dHBzOi8vbmV3cy55YWhvby5jb20vYW1waHRtbC9uZXdzL2JsYW1lLWhhbWFzLWF0dGFja2luZy1pc3JhZWwtd2Fycy0wOTExMjE0OTkuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/5k59mGUm1PBraGC6oMqkc0XaxZuTxq9vcHN6WIIqmWxBpjM0iI1vd5UOZsqfo3Xtf5VMq71Vl2kbIHAfOXqE4mEGDTy7E5dKuuilwAOB1RBUF3lZKNdi9M-dkHHBT5ylEumpk5fJFznvffBoaHaGqyak4Ksi_IDciSWGROipqACmzA7u3xL_FC_W6i2w=s0-h14-rp,Yahoo! Voices,,1698017039.974711,Rusia-China-Alliance
"Israel-Hamas, Ukraine wars don't just happen. Look at Russia, China",,14 hours ago,2023-10-22 06:24:02.256988,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9vcGluaW9uL3ZvaWNlcy8yMDIzLzEwLzIyL2lzcmFlbC1oYW1hcy11a3JhaW5lLXdhci1ub3QtaXNvbGF0ZWQvNzEyMTg5NjAwMDcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/-azIrtjYWp_uW0mZr2EgCuDyyZ9WpFOIWNx3qM1wwCzV37NgmqATpNZGn9R0y8XklFku6Hhwz6w=s0-h14-rp,USA TODAY,,1698017039.974711,Rusia-China-Alliance
Online 'Information War' in Africa Rages on Social Media,,15 hours ago,2023-10-22 05:24:02.261978,news.google.com/./articles/CBMiZ2h0dHBzOi8vdGVjaC5zbGFzaGRvdC5vcmcvc3RvcnkvMjMvMTAvMjEvMTczMTIyNS9vbmxpbmUtaW5mb3JtYXRpb24td2FyLWluLWFmcmljYS1yYWdlcy1vbi1zb2NpYWwtbWVkaWHSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://tech.slashdot.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Slashdot,,1698017039.974711,Rusia-China-Alliance
Opinion: Putin's Strategic Mistake: Adverse Effects of the Russia ...,,15 hours ago,2023-10-22 05:24:02.255990,news.google.com/./articles/CBMiJmh0dHBzOi8vd3d3Lmt5aXZwb3N0LmNvbS9vcGluaW9uLzIyOTQx0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.kyivpost.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Kyiv Post,,1698017039.974711,Rusia-China-Alliance
China Has Possibly Flared a Diplomatic Spat Between India and Russia. But It is Failing Already,,20 hours ago,2023-10-22 00:24:02.259950,news.google.com/./articles/CBMihAFodHRwczovL3RmaWdsb2JhbG5ld3MuY29tLzIwMjMvMTAvMjIvY2hpbmEtaGFzLXBvc3NpYmx5LWZsYXJlZC1hLWRpcGxvbWF0aWMtc3BhdC1iZXR3ZWVuLWluZGlhLWFuZC1ydXNzaWEtYnV0LWl0LWlzLWZhaWxpbmctYWxyZWFkeS_SAYgBaHR0cHM6Ly90ZmlnbG9iYWxuZXdzLmNvbS8yMDIzLzEwLzIyL2NoaW5hLWhhcy1wb3NzaWJseS1mbGFyZWQtYS1kaXBsb21hdGljLXNwYXQtYmV0d2Vlbi1pbmRpYS1hbmQtcnVzc2lhLWJ1dC1pdC1pcy1mYWlsaW5nLWFscmVhZHkvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/iMNj4Xgc-JsmK1KfM8bjSzCriZoYxDUVSN7C-YPj6_c_wH1V4zMNEsNyquxQoITiRzhhD2EX=s0-h14-rp,TFI Global News,,1698017039.974711,Rusia-China-Alliance
The 'no-limits' partnership between Russia and China,,Yesterday,2023-10-21 20:24:02.251995,news.google.com/./articles/CBMiJWh0dHBzOi8vd3d3LmFyYWJuZXdzLmNvbS9ub2RlLzIzOTUzODbSASlodHRwczovL3d3dy5hcmFibmV3cy5jb20vbm9kZS8yMzk1Mzg2L2FtcA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.arabnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Arab News,,1698017039.974711,Rusia-China-Alliance
NATO Admiral Says Growing China-Russia Ties Raise Risk in Arctic,,Yesterday,2023-10-21 20:24:02.250984,news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTEwLTIxL25hdG8tYWRtaXJhbC1zYXlzLWdyb3dpbmctY2hpbmEtcnVzc2lhLXRpZXMtcmFpc2Utcmlzay1pbi1hcmN0aWPSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/NGEszdY4BPKjXpMWL2fgAHQasyKjNgr-yPt6p2ELILT6x6SV6gjNxJgplAAFTRD6-UhwMebPlA=s0-h14-rp,Bloomberg,,1698017039.974711,Rusia-China-Alliance
Karma Developers to set up $354mln premium projects in Dubai,,2 days ago,2023-10-20 20:24:02.262981,news.google.com/./articles/CBMicmh0dHBzOi8vd3d3Lnphd3lhLmNvbS9lbi9idXNpbmVzcy9yZWFsLWVzdGF0ZS9rYXJtYS1kZXZlbG9wZXJzLXRvLXNldC11cC0zNTRtbG4tcHJlbWl1bS1wcm9qZWN0cy1pbi1kdWJhaS1lZWh4eWs4d9IBeGh0dHBzOi8vd3d3Lnphd3lhLmNvbS9lbi9idXNpbmVzcy9yZWFsLWVzdGF0ZS9rYXJtYS1kZXZlbG9wZXJzLXRvLXNldC11cC0zNTRtbG4tcHJlbWl1bS1wcm9qZWN0cy1pbi1kdWJhaS1lZWh4eWs4dz9hbXA9MQ?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.zawya.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",ZAWYA,,1698017039.974711,Rusia-China-Alliance
