title,desc,date,datetime,link,img,media,site,log_date,subject
Listen: Billionaire Brags About Trump Sharing Secret Information With Him,,5 hours ago,2023-10-22 15:24:04.656513,news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LnJvbGxpbmdzdG9uZS5jb20vcG9saXRpY3MvcG9saXRpY3MtbmV3cy9zZWNyZXQtdGFwZXMtdHJ1bXAtYXVzdHJhbGlhbi1iaWxsaW9uYWlyZS1hbnRob255LXByYXR0LTEyMzQ4NTk5NTcv0gF7aHR0cHM6Ly93d3cucm9sbGluZ3N0b25lLmNvbS9wb2xpdGljcy9wb2xpdGljcy1uZXdzL3NlY3JldC10YXBlcy10cnVtcC1hdXN0cmFsaWFuLWJpbGxpb25haXJlLWFudGhvbnktcHJhdHQtMTIzNDg1OTk1Ny9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Eu42vSZ7s4SiGDVFYKTblv7yvu9umoMrXgDAPgKG7pKi-OC9vxNTjIAwLMlFf5T6MPAOfrchMpxBk00sWGAWJMTuOAWgGRGfd3JR6dS8bdE5jUXsQIJ4ly4-fPXxIN-DC-VpLLNftNbcQhuQTQ4xdSUjKRe5H2jmI2JANJiH6o2aL1PQ0UJfPbAYqCib=s0-h14-rp,Rolling Stone,,1698017042.267831,US-Military
Defense Secretary Austin says US is 'concerned about potential ...,,6 hours ago,2023-10-22 14:24:04.653598,news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMC8yMi9wb2xpdGljcy9sbG95ZC1hdXN0aW4taXNyYWVsLW1pZGRsZS1lYXN0L2luZGV4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/8zdvTbISHUn-4iHkauW-_yQSGPD9BMrx9EWfqTIhiVm2YMYqhHC1HJWNDQoSOkMk0MRPYKxjIg=s0-h14-rp,CNN,,1698017042.267831,US-Military
Scale AI wants to be America’s AI arms dealer to compete with China,,9 hours ago,2023-10-22 11:24:04.651607,news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS90ZWNobm9sb2d5LzIwMjMvMTAvMjIvc2NhbGUtYWktdXMtbWlsaXRhcnkv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/xkxhhmIcX17VMwusXl2s4VSgJXtQpnU43BCW3Xfi-Jrd-A05vsq0sfcc3cttfxac5dVc8Z2_CXc=s0-h14-rp,The Washington Post,,1698017042.267831,US-Military
Senate Confirmation Is a Recipe for Politicizing Military Personnel ...,,12 hours ago,2023-10-22 08:24:04.652603,news.google.com/./articles/CBMib2h0dHBzOi8vd3d3Lmxhd2ZhcmVtZWRpYS5vcmcvYXJ0aWNsZS9zZW5hdGUtY29uZmlybWF0aW9uLWlzLWEtcmVjaXBlLWZvci1wb2xpdGljaXppbmctbWlsaXRhcnktcGVyc29ubmVsLXBvbGljedIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.lawfaremedia.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Lawfare,,1698017042.267831,US-Military
Your guide to US military creeds,,Yesterday,2023-10-21 20:24:04.655518,news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LmZvcmNlcy5uZXQvZmVhdHVyZS9zb2xkaWVycy1jcmVlZC15b3VyLWd1aWRlLXVzLW1pbGl0YXJ5LWNyZWVkc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.forces.net&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Forces Network,,1698017042.267831,US-Military
"Israel: US weapons pour in, 45 cargo planes loaded with armaments for IDF",,Yesterday,2023-10-21 20:24:04.644598,news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vaXNyYWVsLXdlbGNvbWVzLTQ1dGgtY2FyZ28tcGxhbmUtYXJtb3JlZC12ZWhpY2xlcy1hcm1hbWVudHMtdXMtMjAyMy0xMNIBamh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vaXNyYWVsLXdlbGNvbWVzLTQ1dGgtY2FyZ28tcGxhbmUtYXJtb3JlZC12ZWhpY2xlcy1hcm1hbWVudHMtdXMtMjAyMy0xMD9hbXA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/dnezbGzIKlcPlhGR0kXx4osDChPmyqnlhHZ9F4lLCbboxfA3E7MpxJbynvVsItCX4_yggXdZ=s0-h14-rp,Business Insider,,1698017042.267831,US-Military
US' military calculations behind eagerness to bind three Pacific ...,,2 days ago,2023-10-20 20:24:04.657521,news.google.com/./articles/CBMiSGh0dHA6Ly9lbmcuY2hpbmFtaWwuY29tLmNuL09QSU5JT05TXzIwOTE5Ni9PcGluaW9uc18yMDkxOTcvMTYyNjA1MTcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=http://eng.chinamil.com.cn&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",China Military,,1698017042.267831,US-Military
Japanese defense contractors pitch wares to U.S. military,,2 days ago,2023-10-20 20:24:04.655518,news.google.com/./articles/CBMid2h0dHBzOi8vYXNpYS5uaWtrZWkuY29tL0J1c2luZXNzL0Flcm9zcGFjZS1EZWZlbnNlLUluZHVzdHJpZXMvSmFwYW5lc2UtZGVmZW5zZS1jb250cmFjdG9ycy1waXRjaC13YXJlcy10by1VLlMuLW1pbGl0YXJ50gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/iSV8NnY3b7ZoSGn8KgM9zouOqDBT4Hd4jslHZZeDI_i5FmxiHXtMcVPhrdhGELgQUZCSYAzu=s0-h14-rp,Nikkei Asia,,1698017042.267831,US-Military
"Assistant Secretary Martinez Reflects on Life's Work, Taking Care of ...",,2 days ago,2023-10-20 20:24:04.654595,news.google.com/./articles/CBMijQFodHRwczovL3d3dy5kZWZlbnNlLmdvdi9OZXdzL0ZlYXR1cmUtU3Rvcmllcy9TdG9yeS9BcnRpY2xlLzM1NjQyNjEvYXNzaXN0YW50LXNlY3JldGFyeS1tYXJ0aW5lei1yZWZsZWN0cy1vbi1saWZlcy13b3JrLXRha2luZy1jYXJlLW9mLXBlb3BsZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.defense.gov&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Department of Defense,,1698017042.267831,US-Military
"Report: PFAS water contamination risks at NY, US military sites",,2 days ago,2023-10-20 20:24:04.654595,news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LnB1YmxpY25ld3NzZXJ2aWNlLm9yZy8yMDIzLTEwLTIwL2Vudmlyb25tZW50L3JlcG9ydC1wZmFzLXdhdGVyLWNvbnRhbWluYXRpb24tcmlza3MtYXQtbnktdXMtbWlsaXRhcnktc2l0ZXMvYTg2NzkxLTHSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/Y9xE9qCpJ5Oq3zkOEvhcXOp82OTzfbnPy670Q8oSiYa_5G83bP7AlK6yIUDUvH_Wd2ibEZDn2g=s0-h14-rp,Public News Service,,1698017042.267831,US-Military
"Nikki Haley says she would support Israel, strengthen U.S. military ...",,2 days ago,2023-10-20 20:24:04.652603,news.google.com/./articles/CBMiemh0dHBzOi8vaW93YWNhcGl0YWxkaXNwYXRjaC5jb20vMjAyMy8xMC8yMC9uaWtraS1oYWxleS1zYXlzLXNoZS13b3VsZC1zdXBwb3J0LWlzcmFlbC1zdHJlbmd0aGVuLXUtcy1taWxpdGFyeS1hcy1wcmVzaWRlbnQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://iowacapitaldispatch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Iowa Capital Dispatch,,1698017042.267831,US-Military
US Navy service member pleads guilty to transmitting sensitive US ...,,2 days ago,2023-10-20 20:24:04.651607,news.google.com/./articles/CBMie2h0dHBzOi8vaGlnaGxhbmRjb3VudHlwcmVzcy5jb20vdXMtbmF2eS1zZXJ2aWNlLW1lbWJlci1wbGVhZHMtZ3VpbHR5LXRyYW5zbWl0dGluZy1zZW5zaXRpdmUtdXMtbWlsaXRhcnktaW5mb3JtYXRpb24tY2hpbmVzZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://highlandcountypress.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Highland County Press,,1698017042.267831,US-Military
"Amwell, Leidos to Deliver Digital Healthcare Platform for US Military",,2 days ago,2023-10-20 20:24:04.647601,news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LnRoZWRlZmVuc2Vwb3N0LmNvbS8yMDIzLzEwLzIwL3VzLW1pbGl0YXJ5LWRpZ2l0YWwtaGVhbHRoY2FyZS1wbGF0Zm9ybS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/vsxDYhVitim9UNC17PDV_v1Zn5t3Lq98q9bAICKUfm295LlPcCUVykZPmRtDqnFmXIahsXO2Eg=s0-h14-rp,The Defense Post,,1698017042.267831,US-Military
"US military has more work to do integrating women, report finds",,2 days ago,2023-10-20 20:24:04.646599,news.google.com/./articles/CBMie2h0dHBzOi8vd3d3Lm1pbGl0YXJ5dGltZXMuY29tL25ld3MveW91ci1taWxpdGFyeS8yMDIzLzEwLzIwL3VzLW1pbGl0YXJ5LWhhcy1tb3JlLXdvcmstdG8tZG8taW50ZWdyYXRpbmctd29tZW4tcmVwb3J0LWZpbmRzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tirwo1pL3lckYZd7khrkSvCHkWviu9Lrk20kS8aiZLhgvceOgnaafkaaq7zYIjbGx5x_XNmRQQ=s0-h14-rp,Military Times,,1698017042.267831,US-Military
