title,desc,date,datetime,link,img,media,site,log_date,subject
Five things to watch for in the Canadian business world in the ...,,9 hours ago,2023-10-22 11:24:18.492098,news.google.com/./articles/CBMidmh0dHBzOi8vdG9yb250by5jaXR5bmV3cy5jYS8yMDIzLzEwLzIyL2ZpdmUtdGhpbmdzLXRvLXdhdGNoLWZvci1pbi10aGUtY2FuYWRpYW4tYnVzaW5lc3Mtd29ybGQtaW4tdGhlLWNvbWluZy13ZWVrLTMzNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/sDLzimC6sAEFf5lrtIZgGKDcVkn3h0hyTqahfY896RUG779WwtsP-Y-nH4uuCIdPO4ORUG_xdQ=s0-h14-rp,CityNews Toronto,,1698017055.981262,financial-markets
Nasdaq Inc. A Hidden Financial Markets Gem,,17 hours ago,2023-10-22 03:24:18.500194,news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3Lm1zbi5jb20vZW4tdXMvbW9uZXkvbWFya2V0cy9uYXNkYXEtaW5jLWEtaGlkZGVuLWZpbmFuY2lhbC1tYXJrZXRzLWdlbS9hci1BQTFpRHlXSdIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.msn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",msnNOW,,1698017055.981262,financial-markets
Bitcoin's bid to upend capital markets,,2 days ago,2023-10-20 20:24:18.501204,news.google.com/./articles/CBMiOmh0dHBzOi8vY3J5cHRvLm5ld3MvYml0Y29pbnMtYmlkLXRvLXVwZW5kLWNhcGl0YWwtbWFya2V0cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tGUFNoIXoG4kyJCeBFbNpGW8ZHJlH9ejinseYQ_X6zrBhAt7laXpmK4C_Ibr_x9a8_1Dtrhppw=s0-h14-rp,crypto.news,,1698017055.981262,financial-markets
Stock market today: Asian shares slip further as higher US 10-year ...,,2 days ago,2023-10-20 20:24:18.500194,news.google.com/./articles/CBMipgFodHRwczovL3NwZWN0cnVtbG9jYWxuZXdzLmNvbS9ueXMvYmluZ2hhbXRvbi9hcC10b3AtbmV3cy8yMDIzLzEwLzIwL3N0b2NrLW1hcmtldC10b2RheS1hc2lhbi1zaGFyZXMtc2xpcC1mdXJ0aGVyLWFzLWhpZ2hlci11cy0xMC15ZWFyLXRyZWFzdXJ5LXlpZWxkLXByZXNzdXJlcy13YWxsLXN00gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://spectrumlocalnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Spectrum News,,1698017055.981262,financial-markets
Earnings Call: Nordea Bank Q3 2023 Results Show Strong ...,,2 days ago,2023-10-20 20:24:18.499196,news.google.com/./articles/CBMioQFodHRwczovL3d3dy5pbnZlc3RpbmcuY29tL25ld3Mvc3RvY2stbWFya2V0LW5ld3MvZWFybmluZ3MtY2FsbC1ub3JkZWEtYmFuay1xMy0yMDIzLXJlc3VsdHMtc2hvdy1zdHJvbmctcGVyZm9ybWFuY2UtYW1pZC1maW5hbmNpYWwtbWFya2V0LXVuY2VydGFpbnR5LTkzQ0gtMzIwMzc1M9IBqQFodHRwczovL20uaW52ZXN0aW5nLmNvbS9uZXdzL3N0b2NrLW1hcmtldC1uZXdzL2Vhcm5pbmdzLWNhbGwtbm9yZGVhLWJhbmstcTMtMjAyMy1yZXN1bHRzLXNob3ctc3Ryb25nLXBlcmZvcm1hbmNlLWFtaWQtZmluYW5jaWFsLW1hcmtldC11bmNlcnRhaW50eS05M0NILTMyMDM3NTM_YW1wTW9kZT0x?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/QcpgKk3GVNPXPqqUASG77bB9XmEzW5reoedwYdDtcc9UHD7dAYJWHrVY98qN4IpOtKy1sQg7j0w=s0-h14-rp,Investing.com,,1698017055.981262,financial-markets
Christopher Uhl Joins Forces with OVTLYR for the Launch of the World's First AI Stock Trading Assistant that Evolves with Market Conditions,,2 days ago,2023-10-20 20:24:18.497193,news.google.com/./articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jaHJpc3RvcGhlci11aGwtam9pbnMtZm9yY2VzLW92dGx5ci0xNzE2MDA1NjcuaHRtbNIBWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2NocmlzdG9waGVyLXVobC1qb2lucy1mb3JjZXMtb3Z0bHlyLTE3MTYwMDU2Ny5odG1s?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/L57n4HUzUS8lNXBPYNGQScsyxaqqx42Nym3-tUk8NzkTvMsa95NhzEqC8KMqVPFpAFpCuPFdlA=s0-h14-rp,Yahoo Finance,,1698017055.981262,financial-markets
The Changing Dynamics of CRE Capital Markets,,2 days ago,2023-10-20 20:24:18.495192,news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3Lmdsb2Jlc3QuY29tLzIwMjMvMTAvMjAvdGhlLWNoYW5naW5nLWR5bmFtaWNzLW9mLWNyZS1jYXBpdGFsLW1hcmtldHMv0gFWaHR0cHM6Ly93d3cuZ2xvYmVzdC5jb20vMjAyMy8xMC8yMC90aGUtY2hhbmdpbmctZHluYW1pY3Mtb2YtY3JlLWNhcGl0YWwtbWFya2V0cy8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.globest.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Globe St.,,1698017055.981262,financial-markets
Alpha Financial Markets Consulting PLC 20.2% potential upside ...,,2 days ago,2023-10-20 20:24:18.494192,news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5kaXJlY3RvcnN0YWxraW50ZXJ2aWV3cy5jb20vYWxwaGEtZmluYW5jaWFsLW1hcmtldHMtY29uc3VsdGluZy1wbGMtMjAuMi1wb3RlbnRpYWwtdXBzaWRlLWluZGljYXRlZC1ieS1iZXJlbmJlcmctYmFuay80MTIxMTMwMzE10gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/9LLwwLb3C_d7dBW7XxKpcLjLvlfqFmYl8tNSbutU-paB6Y13dCa4OMJA5webXqLb2l3jA6eh1Q=s0-h14-rp,DirectorsTalk Interviews,,1698017055.981262,financial-markets
Europe risks being left behind on T+1,,2 days ago,2023-10-20 20:24:18.493189,news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LnRoZWJhbmtlci5jb20vRXVyb3BlLXJpc2tzLWJlaW5nLWxlZnQtYmVoaW5kLW9uLVQtMS0xNjk3NzkyNTgz0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.thebanker.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Banker,,1698017055.981262,financial-markets
Federal Reserve warns of growing geopolitical risks to global ...,,2 days ago,2023-10-20 20:24:18.491190,news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzJhMTdlNzViLWQ4OTItNDQ1OS1hNDJmLTYwMDVjNDhjY2NmY9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/281oPpXmEcGU9cV4N2LudyLEG2aBqbqG2iDoMoXUXKl-SWD4AUdO5652KVTGNmcduSWZB_7j=s0-h14-rp,Financial Times,,1698017055.981262,financial-markets
