title,desc,date,datetime,link,img,media,site,log_date,subject
Is urbanisation in Bangladesh doomed?,,23 hours ago,2023-10-21 21:24:15.971623,news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnRoZWRhaWx5c3Rhci5uZXQvb3Bpbmlvbi92aWV3cy9uZXdzL3VyYmFuaXNhdGlvbi1iYW5nbGFkZXNoLWRvb21lZC0zNDQ5NjM20gFaaHR0cHM6Ly93d3cudGhlZGFpbHlzdGFyLm5ldC9vcGluaW9uL3ZpZXdzL25ld3MvdXJiYW5pc2F0aW9uLWJhbmdsYWRlc2gtZG9vbWVkLTM0NDk2MzY_YW1w?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/9Bu7Z_kX7fCEIaroEqv4U6nQKwocue_cSeBQOiKRqajliZPqdtBlKlX1N8FKRD-0xujG4v2-=s0-h14-rp,The Daily Star,,1698017053.772119,infrastructure-vulnerabilities
Unveiling the Top 10 Blockchain Threats & DLT Weaknesses,,2 days ago,2023-10-20 20:24:15.976623,news.google.com/./articles/CBMiSmh0dHBzOi8vdGhlZ3d3LmNvbS91bnZlaWxpbmctdGhlLXRvcC0xMC1ibG9ja2NoYWluLXRocmVhdHMtZGx0LXdlYWtuZXNzZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://thegww.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Geeks World Wide,,1698017053.772119,infrastructure-vulnerabilities
10 Cybersecurity Jobs to Watch Out For in 2024,,2 days ago,2023-10-20 20:24:15.975623,news.google.com/./articles/CBMifmh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2VkdWNhdGlvbi9jYXJlZXJzLzEwLWN5YmVyc2VjdXJpdHktam9icy10by13YXRjaC1vdXQtZm9yLWluLTIwMjQvYXJ0aWNsZXNob3cvMTA0NTg3NzA1LmNtc9IBggFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9lZHVjYXRpb24vY2FyZWVycy8xMC1jeWJlcnNlY3VyaXR5LWpvYnMtdG8td2F0Y2gtb3V0LWZvci1pbi0yMDI0L2FtcF9hcnRpY2xlc2hvdy8xMDQ1ODc3MDUuY21z?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/d9mz-OKghOQPsgxRv1BQzQAI44ifiA_6aAk-gRwo4_32mZXM-TSd5vIY1rL1P2LUH9mFQPnUSRE=s0-h14-rp,Times of India,,1698017053.772119,infrastructure-vulnerabilities
Beyond the Apple Zero-Days: A deep dive into cyber threat dynamics,,2 days ago,2023-10-20 20:24:15.972624,news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnNjbWFnYXppbmUuY29tL3BlcnNwZWN0aXZlL2JleW9uZC10aGUtYXBwbGUtemVyby1kYXlzLWEtZGVlcC1kaXZlLWludG8tY3liZXItdGhyZWF0LWR5bmFtaWNz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/wEsnbGsG7ruIkV4sDgAHy5oZEuGd40pS8ySzUBRy5TD6J712aA02YupyDm_SlMQPJVRx9x4FDw=s0-h14-rp,SC Media,,1698017053.772119,infrastructure-vulnerabilities
Unraveling The Top10 Blockchain Attacks And DLT Vulnerabilities,,2 days ago,2023-10-20 20:24:15.972624,news.google.com/./articles/CBMiX2h0dHBzOi8vYmxvY2tjaGFpbm1hZ2F6aW5lLm5ldC91bnJhdmVsaW5nLXRoZS10b3AxMC1ibG9ja2NoYWluLWF0dGFja3MtYW5kLWRsdC12dWxuZXJhYmlsaXRpZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://blockchainmagazine.net&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Blockchain Magazine,,1698017053.772119,infrastructure-vulnerabilities
Role of decentralization in ensuring security,,2 days ago,2023-10-20 20:24:15.971623,news.google.com/./articles/CBMiQmh0dHBzOi8vY3J5cHRvLm5ld3Mvcm9sZS1vZi1kZWNlbnRyYWxpemF0aW9uLWluLWVuc3VyaW5nLXNlY3VyaXR5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tGUFNoIXoG4kyJCeBFbNpGW8ZHJlH9ejinseYQ_X6zrBhAt7laXpmK4C_Ibr_x9a8_1Dtrhppw=s0-h14-rp,crypto.news,,1698017053.772119,infrastructure-vulnerabilities
"Ragnar Locker Ransomware Shutdown, Infrastructure Seized ...",,2 days ago,2023-10-20 20:24:15.968623,news.google.com/./articles/CBMiP2h0dHBzOi8vZ3JpZGluc29mdC5jb20vYmxvZ3MvcmFnbmFyLWxvY2tlci1yYW5zb213YXJlLXNodXRkb3duL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://gridinsoft.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",GridinSoft,,1698017053.772119,infrastructure-vulnerabilities
Streamlining Application Delivery for Critical Infrastructure,,2 days ago,2023-10-20 20:24:15.968623,news.google.com/./articles/CBMigQFodHRwczovL3d3dy5hc2lhYnVzaW5lc3NvdXRsb29rLmNvbS9pbmR1c3RyeS1leHBlcnRzL3N0cmVhbWxpbmluZy1hcHBsaWNhdGlvbi1kZWxpdmVyeS1mb3ItY3JpdGljYWwtaW5mcmFzdHJ1Y3R1cmUtbndpZC01MDgxLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.asiabusinessoutlook.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Asia Business Outlook,,1698017053.772119,infrastructure-vulnerabilities
The Rise of Cybersecurity Attacks: What You Need to Know and ...,,2 days ago,2023-10-20 20:24:15.967622,news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LmNvYml6bWFnLmNvbS90aGUtcmlzZS1vZi1jeWJlcnNlY3VyaXR5LWF0dGFja3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.cobizmag.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",ColoradoBiz Magazine,,1698017053.772119,infrastructure-vulnerabilities
Critical flaw in JetBrains TeamCity exploited weeks after patch issued,,2 days ago,2023-10-20 20:24:15.965621,news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LmN5YmVyc2VjdXJpdHlkaXZlLmNvbS9uZXdzL25vcnRoLWtvcmVhLWhhY2tlcnMtamV0YnJhaW5zLXRlYW1jaXR5LzY5NzMzMi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/BqycVoIrQMuB2KkaLNlg3X_2j2h6p2dVKQWjMXFmjZv64KOhX-RxvbBElNk1FRlFWhkFCcSTRh4=s0-h14-rp,Cybersecurity Dive,,1698017053.772119,infrastructure-vulnerabilities
What Is Hybrid Cloud Security? How it Works & Best Practices,,2 days ago,2023-10-20 20:24:15.964623,news.google.com/./articles/CBMiPGh0dHBzOi8vd3d3LmVzZWN1cml0eXBsYW5ldC5jb20vY2xvdWQvaHlicmlkLWNsb3VkLXNlY3VyaXR5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/5_hSDGOQTrRz65BiWOx6thaqdnsoDL0CCyhfyupgqVcwHmi7btvMBKNB5wXRpy8_yhTWZWSNtw=s0-h14-rp,eSecurity Planet,,1698017053.772119,infrastructure-vulnerabilities
6 Best Network Vulnerability Scanning Tools for Security Teams in ...,,2 days ago,2023-10-20 20:24:15.961042,news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmVudGVycHJpc2VuZXR3b3JraW5ncGxhbmV0LmNvbS9zZWN1cml0eS9iZXN0LW5ldHdvcmstdnVsbmVyYWJpbGl0eS1zY2FubmluZy10b29scy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.enterprisenetworkingplanet.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",EnterpriseNetworkingPlanet,,1698017053.772119,infrastructure-vulnerabilities
The TSA is found to have some serious cybersecurity deficiencies,,3 days ago,2023-10-19 20:24:15.976711,news.google.com/./articles/CBMidmh0dHBzOi8vZmVkZXJhbG5ld3NuZXR3b3JrLmNvbS9jeWJlcnNlY3VyaXR5LzIwMjMvMTAvdGhlLXRzYS1pcy1mb3VuZC10by1oYXZlLXNvbWUtc2VyaW91cy1jeWJlcnNlY3VyaXR5LWRlZmljaWVuY2llcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/DaQCpaooQBNIoJBjjJpK7ty9DllQI07gAUbujRMSOTF-w6YbCYsnPwajrKfQ43wryHIL_TuLDA=s0-h14-rp,Federal News Network,,1698017053.772119,infrastructure-vulnerabilities
Data Cabling: Key Factors to Consider When Hiring a Company,,3 days ago,2023-10-19 20:24:15.975623,news.google.com/./articles/CBMicmh0dHBzOi8vcm9ib3RpY3NhbmRhdXRvbWF0aW9ubmV3cy5jb20vMjAyMy8xMC8xOS9kYXRhLWNhYmxpbmcta2V5LWZhY3RvcnMtdG8tY29uc2lkZXItd2hlbi1oaXJpbmctYS1jb21wYW55LzczMTgxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://roboticsandautomationnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Robotics and Automation News,,1698017053.772119,infrastructure-vulnerabilities
Microsoft Security Copilot Early Access Program is now available,,3 days ago,2023-10-19 20:24:15.974625,news.google.com/./articles/CBMinAFodHRwczovL3d3dy5taWNyb3NvZnQuY29tL2VuLXVzL3NlY3VyaXR5L2Jsb2cvMjAyMy8xMC8xOS9taWNyb3NvZnQtc2VjdXJpdHktY29waWxvdC1lYXJseS1hY2Nlc3MtcHJvZ3JhbS1oYXJuZXNzaW5nLWdlbmVyYXRpdmUtYWktdG8tZW1wb3dlci1zZWN1cml0eS10ZWFtcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.microsoft.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",microsoft.com,,1698017053.772119,infrastructure-vulnerabilities
Endpoint security in the cloud: What you need to know,,3 days ago,2023-10-19 20:24:15.971623,news.google.com/./articles/CBMiWGh0dHBzOi8vc2VjdXJpdHlpbnRlbGxpZ2VuY2UuY29tL3Bvc3RzL2VuZHBvaW50LXNlY3VyaXR5LWluLWNsb3VkLXdoYXQteW91LW5lZWQtdG8ta25vdy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://securityintelligence.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Security Intelligence,,1698017053.772119,infrastructure-vulnerabilities
Palo Alto expands cloud security platform,,3 days ago,2023-10-19 20:24:15.969621,news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3Lm5ldHdvcmt3b3JsZC5jb20vYXJ0aWNsZS8zNzA5MTg4L3BhbG8tYWx0by1leHBhbmRzLWNsb3VkLXNlY3VyaXR5LXBsYXRmb3JtLmh0bWzSAV9odHRwczovL3d3dy5uZXR3b3Jrd29ybGQuY29tL2FydGljbGUvMzcwOTE4OC9wYWxvLWFsdG8tZXhwYW5kcy1jbG91ZC1zZWN1cml0eS1wbGF0Zm9ybS5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/TA_w7eEuNTjUXmczjqe3GpGd5IO3uvxaUjDBs83ro4pyXQ7NXdsNiI-VsoSiBjDi1u8dsUyOVnR5zeYQzOuND7VE89BvqXdOkPU3pnWcaDU0LX9BHSPy-f-b1-JUOq33sPsEEpdfTST99nm-xu1--ZtWilrBV7q2GsKH3MKOmnp5ao-IAnMT_9H1Xml0=s0-h14-rp,Network World,,1698017053.772119,infrastructure-vulnerabilities
It’s time to bring reason to emotional AI debates,,3 days ago,2023-10-19 20:24:15.968623,news.google.com/./articles/CBMiRmh0dHBzOi8vY2VpLm9yZy9ibG9nL2l0cy10aW1lLXRvLWJyaW5nLXJlYXNvbi10by1lbW90aW9uYWwtYWktZGViYXRlcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://cei.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Competitive Enterprise Institute,,1698017053.772119,infrastructure-vulnerabilities
