title,desc,date,datetime,link,img,media,site,log_date,subject
Andrea Aguilera looking for The Miss Philippines with a kind soul,,9 hours ago,2023-10-22 11:24:20.134446,news.google.com/./articles/CBMihAFodHRwczovL2VudGVydGFpbm1lbnQuaW5xdWlyZXIubmV0LzUyNDExOC9taXNzLXN1cHJhbmF0aW9uYWwtYW5kcmVhLWFndWlsZXJhLW9uLXdoYXQtc2hlcy1sb29raW5nLWZvci1pbi10aGUtbWlzcy1waGlsaXBwaW5lcy13aW5uZXLSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://entertainment.inquirer.net&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Inquirer.net,,1698017058.506096,supranational-events
"Jonathan Sumption on Gaza, lockdown and the ECHR",,Yesterday,2023-10-21 20:24:20.136456,news.google.com/./articles/CBMiS2h0dHBzOi8vdW5oZXJkLmNvbS8yMDIzLzEwL2pvbmF0aGFuLXN1bXB0aW9uLW9uLWdhemEtbG9ja2Rvd24tYW5kLXRoZS1lY2hyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/Ft_xzphUcqyrQNxslw1izAyqbb72P7JzQeYwustyXm1aC8Ch2AK7dzmMn_bR4GRvKROpxpo8yg=s0-h14-rp,UnHerd,,1698017058.506096,supranational-events
Member States Face Sustained Spending Pressures: Can EU Funding or Carbon Taxes Help?,,2 days ago,2023-10-20 20:24:20.134446,news.google.com/./articles/CBMigQFodHRwczovL3d3dy5meGVtcGlyZS5jb20vbmV3cy9hcnRpY2xlL21lbWJlci1zdGF0ZXMtZmFjZS1zdXN0YWluZWQtc3BlbmRpbmctcHJlc3N1cmVzLWNhbi1ldS1mdW5kaW5nLW9yLWNhcmJvbi10YXhlcy1oZWxwLTEzODI2NDXSAXdodHRwczovL2FtcC5meGVtcGlyZS5jb20vZW4vbWVtYmVyLXN0YXRlcy1mYWNlLXN1c3RhaW5lZC1zcGVuZGluZy1wcmVzc3VyZXMtY2FuLWV1LWZ1bmRpbmctb3ItY2FyYm9uLXRheGVzLWhlbHAvMTM4MjY0NQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/PKKcvZwdTM7kVRv0fMUn7DA7qOGDV0MT4NzFNbpI50lcsPhNsl5uDTQvvoGAWBFytkMXD4ygEg=s0-h14-rp,FX Empire,,1698017058.506096,supranational-events
"Powell's pause: The curious case of yield, fear, and the debt dilemma",,2 days ago,2023-10-20 20:24:20.134446,news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmZ4c3RyZWV0LmNvbS9hbmFseXNpcy9wb3dlbGxzLXBhdXNlLXRoZS1jdXJpb3VzLWNhc2Utb2YteWllbGQtZmVhci1hbmQtdGhlLWRlYnQtZGlsZW1tYS0yMDIzMTAyMDEzMDPSAXRodHRwczovL3d3dy5meHN0cmVldC5jb20vYW1wL2FuYWx5c2lzL3Bvd2VsbHMtcGF1c2UtdGhlLWN1cmlvdXMtY2FzZS1vZi15aWVsZC1mZWFyLWFuZC10aGUtZGVidC1kaWxlbW1hLTIwMjMxMDIwMTMwMw?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/TAuOIsrFZ0qWmHEfs2ZYrxfa41eYWagGkQx-LRmG8BrIyq6MoJatRrKnKwNSt1SCXGs38KM6sm3rX9TPRSqPEbojc2fQgM0uJ_zdCpDRwVGBuZrQKzR3VC38ujCd1hqIu8Ip0Ai-kMBSclbieoj2_OkjLaItaoxg7n7_eq-zHxXJhIeNDyxeBQFmun8B=s0-h14-rp,FXStreet,,1698017058.506096,supranational-events
Nicaragua's Sheynnis Palacios to wear 'El Zanate' national costume ...,,3 days ago,2023-10-19 20:24:20.138456,news.google.com/./articles/CBMiigFodHRwczovL3d3dy5wYWdlYW50Y2lyY2xlLmNvbS8yMDIzLzEwL21pc3MtbmljYXJhZ3VhLTIwMjMtc2hleW5uaXMtcGFsYWNpb3MtdG8td2Vhci1lbC16YW5hdGUtbmF0aW9uYWwtY29zdHVtZS1mb3ItbWlzcy11bml2ZXJzZS0yMDIzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.pageantcircle.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",PAGEANT Circle,,1698017058.506096,supranational-events
Miss Universe 2023 prelims and national costume show live ...,,3 days ago,2023-10-19 20:24:20.137453,news.google.com/./articles/CBMikgFodHRwczovL3d3dy5wYWdlYW50Y2lyY2xlLmNvbS8yMDIzLzEwL21pc3MtdW5pdmVyc2UtMjAyMy1wcmVsaW1pbmFyeS1jb21wZXRpdGlvbi1hbmQtbmF0aW9uYWwtY29zdHVtZS1zaG93LWxpdmUtc3RyZWFtaW5nLXNjaGVkdWxlcy1hbm5vdW5jZWQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.pageantcircle.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",PAGEANT Circle,,1698017058.506096,supranational-events
"Mesajul Președintelui României, Klaus Iohannis, transmis în ...",,3 days ago,2023-10-19 20:24:20.136456,news.google.com/./articles/CBMingFodHRwczovL3d3dy5wcmVzaWRlbmN5LnJvL3JvL21lZGlhL21lc2FqZS9tZXNhanVsLXByZXNlZGludGVsdWktcm9tYW5pZWkta2xhdXMtaW9oYW5uaXMtdHJhbnNtaXMtaW4tZGVzY2hpZGVyZWEtY2xpbWF0ZS1jaGFuZ2Utc3VtbWl0LXNvbHV0aW9ucy1mb3ItdGhlLWZ1dHVyZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.presidency.ro&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Președintele României,,1698017058.506096,supranational-events
"The case for direct democracy, Switzerland-style",,3 days ago,2023-10-19 20:24:20.136456,news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmNvbnNlcnZhdGl2ZXdvbWFuLmNvLnVrL3RoZS1jYXNlLWZvci1kaXJlY3QtZGVtb2NyYWN5LXN3aXR6ZXJsYW5kLXN0eWxlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.conservativewoman.co.uk&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Conservative Woman,,1698017058.506096,supranational-events
Impact of Globalization on Nepalese Polity -,,3 days ago,2023-10-19 20:24:20.135449,news.google.com/./articles/CBMiSWh0dHA6Ly93d3cudGVsZWdyYXBobmVwYWwuY29tL2ltcGFjdC1vZi1nbG9iYWxpemF0aW9uLW9uLW5lcGFsZXNlLXBvbGl0eS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=http://www.telegraphnepal.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Telegraphnepal.com,,1698017058.506096,supranational-events
Srinidhi Shetty's Telusu Kada launches with a grand Pooja ...,,3 days ago,2023-10-19 20:24:20.133445,news.google.com/./articles/CBMingFodHRwczovL3d3dy5mZW1pbmEuaW4vYmVhdXR5LXBhZ2VhbnRzL21pc3Mtc3VwcmFuYXRpb25hbC9zcmluaWRoaS1zaGV0dHlzLXRlbHVzdS1rYWRhLWxhdW5jaGVzLXdpdGgtYS1ncmFuZC1wb29qYS1jZXJlbW9ueS1oeWRlcmFiYWQvYXJ0aWNsZXNob3cvMTA0NTUzNTk1LmNtc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.femina.in&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Femina Hindi,,1698017058.506096,supranational-events
