title,desc,date,datetime,link,img,media,site,log_date
Trump is winning in key swing states as voters reject Bidenomics: poll,,3 days ago,2023-10-19 19:22:10.233426,news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmF4aW9zLmNvbS8yMDIzLzEwLzE5L2JpZGVuLWVjb25vbXktc3dpbmctc3RhdGVzLXBvbGwtMjAyNNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/l85lUZ33FMIg2XGtWUFSQsRjWkxTQE_JPUVzDezzc7JDHPJO0PZgRCyNWe67UZZCQaNx6K97=s0-h14-rp,Axios,,1698013327.342043
"Global IT Spending Forecast To Grow 8 Percent In 2024, Solution ...",,3 days ago,2023-10-19 19:22:10.221361,news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9jbG91ZC9nbG9iYWwtaXQtc3BlbmRpbmctZm9yZWNhc3QtdG8tZ3Jvdy04LXBlcmNlbnQtaW4tMjAyNC1zb2x1dGlvbi1wcm92aWRlcnMtd2VpZ2gtaW4tb24tZWNvbm9tedIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.crn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",CRN,,1698013327.342043
How Deeply Will Fed Policy Lags Impact the Economy in 2024 ...,,5 days ago,2023-10-17 19:22:10.235429,news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmludmVzdGluZy5jb20vYW5hbHlzaXMvaG93LWRlZXBseS13aWxsLWZlZC1wb2xpY3ktbGFncy1pbXBhY3QtdGhlLWVjb25vbXktaW4tMjAyNC0yMDA2NDI3NzTSAW9odHRwczovL20uaW52ZXN0aW5nLmNvbS9hbmFseXNpcy9ob3ctZGVlcGx5LXdpbGwtZmVkLXBvbGljeS1sYWdzLWltcGFjdC10aGUtZWNvbm9teS1pbi0yMDI0LTIwMDY0Mjc3ND9hbXBNb2RlPTE?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/QcpgKk3GVNPXPqqUASG77bB9XmEzW5reoedwYdDtcc9UHD7dAYJWHrVY98qN4IpOtKy1sQg7j0w=s0-h14-rp,Investing.com,,1698013327.342043
South Africa predicted to briefly lead Africa's economy in 2024 By ...,,5 days ago,2023-10-17 19:22:10.229255,news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmludmVzdGluZy5jb20vbmV3cy9lY29ub215L3NvdXRoLWFmcmljYS1wcmVkaWN0ZWQtdG8tYnJpZWZseS1sZWFkLWFmcmljYXMtZWNvbm9teS1pbi0yMDI0LTkzQ0gtMzIwMDM1M9IBemh0dHBzOi8vbS5pbnZlc3RpbmcuY29tL25ld3MvZWNvbm9teS9zb3V0aC1hZnJpY2EtcHJlZGljdGVkLXRvLWJyaWVmbHktbGVhZC1hZnJpY2FzLWVjb25vbXktaW4tMjAyNC05M0NILTMyMDAzNTM_YW1wTW9kZT0x?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/QcpgKk3GVNPXPqqUASG77bB9XmEzW5reoedwYdDtcc9UHD7dAYJWHrVY98qN4IpOtKy1sQg7j0w=s0-h14-rp,Investing.com,,1698013327.342043
Recession 2024: Are We On The Brink Of An Economic Downturn?,,5 days ago,2023-10-17 19:22:10.226800,news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmJhcmNoYXJ0LmNvbS9zdG9yeS9uZXdzLzIxMjAxMDg2L3JlY2Vzc2lvbi0yMDI0LWFyZS13ZS1vbi10aGUtYnJpbmstb2YtYW4tZWNvbm9taWMtZG93bnR1cm7SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/xRZSTIkr4pNWYRNpHJYWk1mekp2Ru84Mr8oAn6TUj5yyLEBzgCb8LsOL0lmFvg9b4C-rHmxPPQ=s0-h14-rp,Barchart,,1698013327.342043
Harry Dent: ‘Crash of a Lifetime’ Coming in 2024,,6 days ago,2023-10-16 19:22:10.233426,news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnRoaW5rYWR2aXNvci5jb20vMjAyMy8xMC8xNi9oYXJyeS1kZW50LWNyYXNoLW9mLWEtbGlmZXRpbWUtY29taW5nLWluLTIwMjQv0gFcaHR0cHM6Ly93d3cudGhpbmthZHZpc29yLmNvbS8yMDIzLzEwLzE2L2hhcnJ5LWRlbnQtY3Jhc2gtb2YtYS1saWZldGltZS1jb21pbmctaW4tMjAyNC8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/lOzdrKbODcdUuDPqhsTffmjew9ah87Gv_jkWrD_PbdAOCrSNKlZdW5swtMDk4MMtAYtfhlgBv1LPgCLZK4PW_nQHjZ6l-U86Z1ptaU_ISDWxyjyk_6bvbk5n_zsRy9jjJYFhDmT0Jw-Oo1-RsN9jDE4WTzY14acGa1zUM2_dbEDbH5KCim53tRfv3zvWpQ=s0-h14-rp,ThinkAdvisor,,1698013327.342043
High interest rates weigh on GDP but UK on course to avoid recession,,6 days ago,2023-10-16 19:22:10.225553,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmV5LmNvbS9lbl91ay9uZXdzLzIwMjMvMTAvaGlnaC1pbnRlcmVzdC1yYXRlcy13ZWlnaC1vbi1nZHAtYnV0LXVrLXRvLWF2b2lkLXJlY2Vzc2lvbtIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.ey.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Ernst & Young,,1698013327.342043
MBA Forecast: Mortgage Originations to Increase 19% to $1.95 ...,,7 days ago,2023-10-15 19:22:10.222584,news.google.com/./articles/CBMimAFodHRwczovL3d3dy5tYmEub3JnL25ld3MtYW5kLXJlc2VhcmNoL25ld3Nyb29tL25ld3MvMjAyMy8xMC8xNS9tYmEtZm9yZWNhc3QtcmVjZXNzaW9uLWxpa2VseS1pbi0yMDIzLW1vcnRnYWdlLW9yaWdpbmF0aW9ucy10by1kZWNsaW5lLTktdG8tMi4wNS10cmlsbGlvbtIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.mba.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Mortgage Bankers Association,,1698013327.342043
DBRS Morningstar's Takeaways from Credit Outlook Canada 2024 ...,,9 days ago,2023-10-13 19:22:10.231427,news.google.com/./articles/CBMitQFodHRwczovL3d3dy5kYnJzbW9ybmluZ3N0YXIuY29tL3Jlc2VhcmNoLzQyMTg2OC9kYnJzLW1vcm5pbmdzdGFycy10YWtlYXdheXMtZnJvbS1jcmVkaXQtb3V0bG9vay1jYW5hZGEtMjAyNC1zb2xpZC1mdW5kYW1lbnRhbHMtcG9zaXRpb24tbGFyZ2UtY2FuYWRpYW4tYmFua3MtZm9yLWdyb3d0aC1vcHBvcnR1bml0aWVz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/Eos1Bmci2G_DC_UeJEMj-Gdh-MRFgRVFLi6Shs6GDh6bEWyNuld3_IUQyP9HdjKMpFC7-0-gkg=s0-h14-rp,DBRS Morningstar,,1698013327.342043
Billionaire Paul Tudor Jones Predicts a Recession in Early 2024 ...,,10 days ago,2023-10-12 19:22:10.229867,news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIzLzEwLzEyL2JpbGxpb25haXJlLXBhdWwtdHVkb3Itam9uZXMtcmVjZXNzaW9uLTIwMjQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/u___MImBqnU9wKX2S8izNzezTr5Mo8dtlLQmQZD2Z7NCzdolU7N-WCRETVow4DmQUy-squNXug=s0-h14-rp,The Motley Fool,,1698013327.342043
