title,desc,date,datetime,link,img,media,site,log_date
Charting the cosmos: ANU unveils the universe's origin | Canberra ...,,1 hour ago,2023-10-17 20:48:46.024550,news.google.com/./articles/CBMiUmh0dHBzOi8vY2FuYmVycmFkYWlseS5jb20uYXUvY2hhcnRpbmctdGhlLWNvc21vcy1hbnUtdW52ZWlscy10aGUtdW5pdmVyc2VzLW9yaWdpbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/ceKHFSj7xoA430tt3beJzjElECJeZ3octMDlbOyRY-Ob2ms01bbZDaUar7nR0zjBvVHvr-tkaio=s0-h14-rp,Canberra Daily,,2023-10-17 21:48:44.661068
Gucci Cosmos Showcases Fashion Brand's Legacy With Head-Turning Tech,,1 hour ago,2023-10-17 20:48:46.020542,news.google.com/./articles/CBMiWGh0dHBzOi8vZGVjcnlwdC5jby8yMDIwNTYvZ3VjY2ktY29zbW9zLXNob3djYXNlcy1mYXNoaW9uLWJyYW5kcy1sZWdhY3ktaGVhZC10dXJuaW5nLXRlY2jSAV5odHRwczovL2RlY3J5cHQuY28vMjAyMDU2L2d1Y2NpLWNvc21vcy1zaG93Y2FzZXMtZmFzaGlvbi1icmFuZHMtbGVnYWN5LWhlYWQtdHVybmluZy10ZWNoP2FtcD0x?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/cBw9539xkEI5mbN7le2ibNLWkQz6SipNCpxgWHDdobvuKJ77LZ93wsTz3tjIwxrHjiEMnkL6=s0-h14-rp,Decrypt,,2023-10-17 21:48:44.661068
Charting the cosmos: ANU unveils the universe's origin | Canberra ...,,59 minutes ago,2023-10-17 20:48:21.845071,news.google.com/./articles/CBMiUmh0dHBzOi8vY2FuYmVycmFkYWlseS5jb20uYXUvY2hhcnRpbmctdGhlLWNvc21vcy1hbnUtdW52ZWlscy10aGUtdW5pdmVyc2VzLW9yaWdpbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/ceKHFSj7xoA430tt3beJzjElECJeZ3octMDlbOyRY-Ob2ms01bbZDaUar7nR0zjBvVHvr-tkaio=s0-h14-rp,Canberra Daily,,2023-10-17 21:48:44.661068
Gucci Cosmos Showcases Fashion Brand's Legacy With Head-Turning Tech,,1 hour ago,2023-10-17 20:47:21.840656,news.google.com/./articles/CBMiWGh0dHBzOi8vZGVjcnlwdC5jby8yMDIwNTYvZ3VjY2ktY29zbW9zLXNob3djYXNlcy1mYXNoaW9uLWJyYW5kcy1sZWdhY3ktaGVhZC10dXJuaW5nLXRlY2jSAV5odHRwczovL2RlY3J5cHQuY28vMjAyMDU2L2d1Y2NpLWNvc21vcy1zaG93Y2FzZXMtZmFzaGlvbi1icmFuZHMtbGVnYWN5LWhlYWQtdHVybmluZy10ZWNoP2FtcD0x?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/cBw9539xkEI5mbN7le2ibNLWkQz6SipNCpxgWHDdobvuKJ77LZ93wsTz3tjIwxrHjiEMnkL6=s0-h14-rp,Decrypt,,2023-10-17 21:48:44.661068
Here's how smoke chemicals linger in homes after a wildfire,,2 hours ago,2023-10-17 19:48:46.033228,news.google.com/./articles/CBMiQ2h0dHBzOi8vY29zbW9zbWFnYXppbmUuY29tL2VhcnRoL3Ntb2tlLXdpbGRmaXJlLXJlc2VhcmNoLWhvdXNlLXZvYy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/XIT_-fe5Bn4s_z0NeCcjc6r9nMEJAvvJu9nOuI9AHlSFK48rA59eEJdvqvaLhNXx6kO7PoEAiQ=s0-h14-rp,Cosmos,,2023-10-17 21:48:44.661068
Here's how smoke chemicals linger in homes after a wildfire,,2 hours ago,2023-10-17 19:47:21.853190,news.google.com/./articles/CBMiQ2h0dHBzOi8vY29zbW9zbWFnYXppbmUuY29tL2VhcnRoL3Ntb2tlLXdpbGRmaXJlLXJlc2VhcmNoLWhvdXNlLXZvYy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/XIT_-fe5Bn4s_z0NeCcjc6r9nMEJAvvJu9nOuI9AHlSFK48rA59eEJdvqvaLhNXx6kO7PoEAiQ=s0-h14-rp,Cosmos,,2023-10-17 21:48:44.661068
Predators Don't Just Come to Earth to Hunt Humans - There's ...,,3 hours ago,2023-10-17 18:48:46.043024,news.google.com/./articles/CBMiR2h0dHBzOi8vc2NyZWVucmFudC5jb20vcHJlZGF0b3JzLWFub3RoZXItZWFydGgtc3BlY2llcy1odW50LW5vdC1odW1hbnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/i3NYopBz4_qsG7M0s91efmGJOSzxeeygod806TuHHfcJFB8n0c8zgitliSZe6FJ8iDGGrG9w=s0-h14-rp,Screen Rant,,2023-10-17 21:48:44.661068
Wondrous Space: The Franklin Institute's New Core Exhibit,,3 hours ago,2023-10-17 18:48:46.021542,news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LnZpc2l0cGhpbGx5LmNvbS9mZWF0dXJlcy93b25kcm91cy1zcGFjZS1hdC10aGUtZnJhbmtsaW4taW5zdGl0dXRlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.visitphilly.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Visit Philadelphia,,2023-10-17 21:48:44.661068
Predators Don't Just Come to Earth to Hunt Humans - There's ...,,3 hours ago,2023-10-17 18:47:21.865110,news.google.com/./articles/CBMiR2h0dHBzOi8vc2NyZWVucmFudC5jb20vcHJlZGF0b3JzLWFub3RoZXItZWFydGgtc3BlY2llcy1odW50LW5vdC1odW1hbnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/i3NYopBz4_qsG7M0s91efmGJOSzxeeygod806TuHHfcJFB8n0c8zgitliSZe6FJ8iDGGrG9w=s0-h14-rp,Screen Rant,,2023-10-17 21:48:44.661068
Wondrous Space: The Franklin Institute's New Core Exhibit,,3 hours ago,2023-10-17 18:47:21.842690,news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LnZpc2l0cGhpbGx5LmNvbS9mZWF0dXJlcy93b25kcm91cy1zcGFjZS1hdC10aGUtZnJhbmtsaW4taW5zdGl0dXRlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.visitphilly.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Visit Philadelphia,,2023-10-17 21:48:44.661068
