title,desc,date,datetime,link,img,media,site,log_date
NEC、社内ITの本番環境にIBMのITインフラ可視化ソリューションを ...,,2 hours ago,2023-10-17 19:28:56.724027,news.google.com/./articles/CBMiKWh0dHBzOi8vamFwYW4uemRuZXQuY29tL2FydGljbGUvMzUyMTAzNzAv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/1e6RkwC-FiY6EIMwp6j6AOg-I0EVUH1Y4NntFN8jGT4XJtydlOioIF5hUQrJPK_UwTjpu32EnQ=s0-h14-rp,ZDNET Japan,,2023-10-17 21:28:54.781759
IBMが生成AIでモダナイズ、COBOLを「JaBOL」ではなく ...,,4 hours ago,2023-10-17 17:28:56.735092,news.google.com/./articles/CBMiPGh0dHBzOi8veHRlY2gubmlra2VpLmNvbS9hdGNsL254dC9jb2x1bW4vMTgvMDI2MTMvMTAxNjAwMDA0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://xtech.nikkei.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",日本経済新聞,,2023-10-17 21:28:54.781759
"Sirion geht Partnerschaft mit IBM ein, um das Vertragsmanagement ...",,4 hours ago,2023-10-17 17:28:56.733333,news.google.com/./articles/CBMixQFodHRwczovL3d3dy5hZnAuY29tL2RlL25hY2hyaWNodGVuLzEzMzcvc2lyaW9uLWdlaHQtcGFydG5lcnNjaGFmdC1taXQtaWJtLWVpbi11bS1kYXMtdmVydHJhZ3NtYW5hZ2VtZW50LXVudGVybmVobWVuLW1pdC1raS1nZXN0dWV0enRlbS1jb250cmFjdC1saWZlY3ljbGUtbWFuYWdlbWVudC16dS1iZXNjaGxldW5pZ2VuLTIwMjMxMDE3NzM2NTI5MdIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.afp.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",afp.com,,2023-10-17 21:28:54.781759
The Expected Move and the Normal Distribution,,4 hours ago,2023-10-17 17:28:56.722149,news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnRhc3R5bGl2ZS5jb20vbmV3cy1pbnNpZ2h0cy90aGUtZXhwZWN0ZWQtbW92ZS1hbmQtdGhlLW5vcm1hbC1kaXN0cmlidXRpb27SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/_XqbQK4MExLUUdhPe9O4aeTeV5pQgXAP5HyVJzDo5HlqJytb6QFNA94iJFN28SWze4h7fzmP=s0-h14-rp,tastylive ,,2023-10-17 21:28:54.781759
Díaz Ayuso anuncia una colaboración con IBM para aplicar ...,,4 hours ago,2023-10-17 17:28:56.717999,news.google.com/./articles/CBMipwFodHRwczovL3d3dy5jb211bmlkYWQubWFkcmlkL25vdGljaWFzLzIwMjMvMTAvMTcvZGlhei1heXVzby1hbnVuY2lhLWNvbGFib3JhY2lvbi1pYm0tYXBsaWNhci10ZWNub2xvZ2lhLWRlc2Fycm9sbG8tbnVldm9zLW1hdGVyaWFsZXMtc2VtaWNvbmR1Y3RvcmVzLXNvc3RlbmlibGVzLWVzcGFuYdIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.comunidad.madrid&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Comunidad de Madrid |,,2023-10-17 21:28:54.781759
2023-2024 Wittenberg Series Continues,,4 hours ago,2023-10-17 17:28:56.717396,news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LndpdHRlbmJlcmcuZWR1L25ld3MvMTAtMTctMjMvMjAyMy0yMDI0LXdpdHRlbmJlcmctc2VyaWVzLWNvbnRpbnVlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.wittenberg.edu&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Wittenberg University,,2023-10-17 21:28:54.781759
IBM Says 631K Affected in Johnson & Johnson Database Breach,,4 hours ago,2023-10-17 17:28:56.715680,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmJhbmtpbmZvc2VjdXJpdHkuY29tL2libS1zYXlzLTYzMWstYWZmZWN0ZWQtaW4tam9obnNvbi1qb2huc29uLWRhdGFiYXNlLWJyZWFjaC1hLTIzMzM10gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bankinfosecurity.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",BankInfoSecurity.com,,2023-10-17 21:28:54.781759
Large Corporations Continue to Remove Degree Requirements for ...,,5 hours ago,2023-10-17 16:28:56.733254,news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LnRwdXNhLmNvbS9saXZlL2xhcmdlLWNvcnBvcmF0aW9ucy1jb250aW51ZS10by1yZW1vdmUtZGVncmVlLXJlcXVpcmVtZW50cy1mb3Itam9ic9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.tpusa.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Turning Point USA,,2023-10-17 21:28:54.781759
Collaborazione Sirion - IBM destinata a velocizzare la gestione dei ...,,5 hours ago,2023-10-17 16:28:56.731285,news.google.com/./articles/CBMiyQFodHRwczovL3d3dy5hbnNhLml0L3NpdG8vbm90aXppZS9lY29ub21pYS9idXNpbmVzc193aXJlLzIwMjMvMTAvMTcvY29sbGFib3JhemlvbmUtc2lyaW9uLWlibS1kZXN0aW5hdGEtYS12ZWxvY2l6emFyZS1sYS1nZXN0aW9uZS1kZWktY29udHJhdHRpLWF6aWVuZGFsaS1ncmF6aWVfODZmZDFjZGUtYWQzNy00OTkxLTg5N2YtNDAxOGFhZDYyYmFhLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.ansa.it&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Agenzia ANSA,,2023-10-17 21:28:54.781759
"William Stanick Obituary (03/11/1933 - 10/07/2023) - Homewood, AL ...",,5 hours ago,2023-10-17 16:28:56.721581,news.google.com/./articles/CBMiV2h0dHBzOi8vb2JpdHMuYWwuY29tL3VzL29iaXR1YXJpZXMvYmlybWluZ2hhbS9uYW1lL3dpbGxpYW0tc3Rhbmljay1vYml0dWFyeT9pZD01MzM2NjQxM9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://obits.al.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Birmingham Obituaries,,2023-10-17 21:28:54.781759
