title,desc,date,datetime,link,img,media,site,log_date
"Little Rock community rallies for Palestine, calls for peace amid Middle East conflict",,1 hour ago,2023-10-17 20:32:44.148095,news.google.com/./articles/CBMimQJodHRwczovL2thdHYuY29tL25ld3MvbG9jYWwvbGl0dGxlLXJvY2stYXJrYW5zYXMtY29tbXVuaXR5LXJhbGxpZXMtZm9yLWdhemEtcGFsZXN0aW5lLWNhbGxzLXBlYWNlLWFtaWQtbWlkZGxlLWVhc3QtY29uZmxpY3QtaGFtYXMtYWN0aXZpc3Qtb3JnYW5pemVyLXJldmVyZW5kLWplZmYtaG9vZC10cmFnZWR5LWRpc2d1c3RpbmctaGVhcnRicmVha2luZy1nZW5vY2lkZS1jbGludG9uLXByZXNpZGVudGlhbC1saWJyYXJ5LWNvbmdyZWdhdGlvbi1ibmFpLWlzcmFlbC1yYWJiaS1iYXJyeS1ibG9ja9IBnQJodHRwczovL2thdHYuY29tL2FtcC9uZXdzL2xvY2FsL2xpdHRsZS1yb2NrLWFya2Fuc2FzLWNvbW11bml0eS1yYWxsaWVzLWZvci1nYXphLXBhbGVzdGluZS1jYWxscy1wZWFjZS1hbWlkLW1pZGRsZS1lYXN0LWNvbmZsaWN0LWhhbWFzLWFjdGl2aXN0LW9yZ2FuaXplci1yZXZlcmVuZC1qZWZmLWhvb2QtdHJhZ2VkeS1kaXNndXN0aW5nLWhlYXJ0YnJlYWtpbmctZ2Vub2NpZGUtY2xpbnRvbi1wcmVzaWRlbnRpYWwtbGlicmFyeS1jb25ncmVnYXRpb24tYm5haS1pc3JhZWwtcmFiYmktYmFycnktYmxvY2s?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://katv.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",KATV,,2023-10-17 21:32:42.338563
Focus at Four: Jewish leader discusses the impacts of the Israel-Palestine war,,1 hour ago,2023-10-17 20:32:44.138095,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmtidHguY29tLzIwMjMvMTAvMTcvZm9jdXMtZm91ci1qZXdpc2gtbGVhZGVyLWRpc2N1c3Nlcy1pbXBhY3RzLWlzcmFlbC1wYWxlc3RpbmUtd2FyL9IBb2h0dHBzOi8vd3d3LmtidHguY29tLzIwMjMvMTAvMTcvZm9jdXMtZm91ci1qZXdpc2gtbGVhZGVyLWRpc2N1c3Nlcy1pbXBhY3RzLWlzcmFlbC1wYWxlc3RpbmUtd2FyLz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.kbtx.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",KBTX,,2023-10-17 21:32:42.338563
Photos: Protesters clash with Palestinian police in West Bank,,1 hour ago,2023-10-17 20:32:44.129317,news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vZ2FsbGVyeS8yMDIzLzEwLzE3L3Bob3Rvcy1wcm90ZXN0ZXJzLWNsYXNoLXdpdGgtcGFsZXN0aW5pYW4tcG9saWNlLWluLXdlc3QtYmFua9IBbWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL2dhbGxlcnkvMjAyMy8xMC8xNy9waG90b3MtcHJvdGVzdGVycy1jbGFzaC13aXRoLXBhbGVzdGluaWFuLXBvbGljZS1pbi13ZXN0LWJhbms?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/l-Ps9rkWuApN8G3MB5uZC_a5G7iKCTITjMdpZFhm2rQf3U2M2Yr_KTYpzpmOPxDiUKgb9yN9ha8=s0-h14-rp,Al Jazeera English,,2023-10-17 21:32:42.338563
Demonstrators call for justice at rally for Palestine in downtown Lexington,,2 hours ago,2023-10-17 19:32:44.138095,news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LndreXQuY29tLzIwMjMvMTAvMTcvZGVtb25zdHJhdG9ycy1jYWxsLWp1c3RpY2UtcmFsbHktcGFsZXN0aW5lLWRvd250b3duLWxleGluZ3Rvbi_SAW1odHRwczovL3d3dy53a3l0LmNvbS8yMDIzLzEwLzE3L2RlbW9uc3RyYXRvcnMtY2FsbC1qdXN0aWNlLXJhbGx5LXBhbGVzdGluZS1kb3dudG93bi1sZXhpbmd0b24vP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.wkyt.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",WKYT,,2023-10-17 21:32:42.338563
The Palestine Red Crescent Society Strongly Condemns the ...,,2 hours ago,2023-10-17 19:32:44.128186,news.google.com/./articles/CBMijQFodHRwczovL3JlbGllZndlYi5pbnQvcmVwb3J0L29jY3VwaWVkLXBhbGVzdGluaWFuLXRlcnJpdG9yeS9wYWxlc3RpbmUtcmVkLWNyZXNjZW50LXNvY2lldHktc3Ryb25nbHktY29uZGVtbnMtYm9tYmFyZG1lbnQtYWxhaGxpLWhvc3BpdGFsLWdhemHSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/jaJdM8nW3-5-wqVikZqfyeyFFK4eWLXkw-T2tzK46k3owgbrRuFWSIksahjqm3icN6IdnI7zVw=s0-h14-rp,ReliefWeb,,2023-10-17 21:32:42.338563
Ronald Lauder threatens to end donations to Penn after Palestine ...,,3 hours ago,2023-10-17 18:32:44.145095,news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LnRoZWRwLmNvbS9hcnRpY2xlLzIwMjMvMTAvcGVubi1sYXVkZXItcmVleGFtaW5pbmctc3VwcG9ydNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.thedp.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Daily Pennsylvanian,,2023-10-17 21:32:42.338563
Palestinian Restaurant Ayat Opens in the East Village,,3 hours ago,2023-10-17 18:32:44.145095,news.google.com/./articles/CBMiWGh0dHBzOi8vbnkuZWF0ZXIuY29tLzIwMjMvMTAvMTcvMjM5MjE1MjUvYXlhdC1lYXN0LXZpbGxhZ2Utb25saW5lLWhhcmFzc21lbnQtcGFsZXN0aW5pYW7SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/F5qcdcQbvnKlFVuMSR6FZLn7Vok4y_XaJLGhG0M_OdPfedI65xaWiugx5yZhBTKhrXNYPm9W=s0-h14-rp,Eater NY,,2023-10-17 21:32:42.338563
"Russian, Chinese presidents to meet in Beijing amid ongoing Israel ...",,3 hours ago,2023-10-17 18:32:44.139095,news.google.com/./articles/CBMiggFodHRwczovL3d3dy5hYS5jb20udHIvZW4vYXNpYS1wYWNpZmljL3J1c3NpYW4tY2hpbmVzZS1wcmVzaWRlbnRzLXRvLW1lZXQtaW4tYmVpamluZy1hbWlkLW9uZ29pbmctaXNyYWVsLXBhbGVzdGluZS1jb25mbGljdC8zMDIzOTUy0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/o9eUcuAGI1Nl6DR4R-b8ujpWbM5wkrY47i9hfZSgnHZGNrYnCNfVEVgDjFlDGZkvLKb_VNN5=s0-h14-rp,Anadolu Agency | English,,2023-10-17 21:32:42.338563
Mainz suspend Anwar El Ghazi over pro-Palestine social media post,,4 hours ago,2023-10-17 17:32:44.152095,news.google.com/./articles/CBMiSmh0dHBzOi8vdGhlYXRobGV0aWMuY29tLzQ5NzExNzAvMjAyMy8xMC8xNy9hbndhci1lbC1naGF6aS1tYWluei1zdXNwZW5kZWQv0gFQaHR0cHM6Ly90aGVhdGhsZXRpYy5jb20vNDk3MTE3MC8yMDIzLzEwLzE3L2Fud2FyLWVsLWdoYXppLW1haW56LXN1c3BlbmRlZC8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/JtT8TIKMBXa1ii26ns4UDfsQe0HmS5NoY5JYbEr18itxEMYs4haETZW6vOwYnXnQlFy6jzUWdg=s0-h14-rp,The Athletic,,2023-10-17 21:32:42.338563
Israel Hamas War News: Hamas' military wing says an Israeli airstrike in the central Gaza Strip has kille...,,4 hours ago,2023-10-17 17:32:44.150096,news.google.com/./articles/CBMi3AFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbmV3cy9uZXdzYmxvZ3MvaXNyYWVsLXBhbGVzdGluZS13YXItbGl2ZS1uZXdzLWdhemEtc3RyaXAtY29uZmxpY3QtaGFtYXMtcm9ja2V0LWF0dGFjay1qZXJ1c2FsZW0tb3BlcmF0aW9uLWFsLWFxc2EtZmxvb2QtYmVuamFtaW4tbmV0YW55YWh1LWxhdGVzdC11cGRhdGVzLWRheS0xMS9saXZlYmxvZy8xMDQ0ODA5OTAuY21z0gHgAWh0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9uZXdzL25ld3NibG9ncy9pc3JhZWwtcGFsZXN0aW5lLXdhci1saXZlLW5ld3MtZ2F6YS1zdHJpcC1jb25mbGljdC1oYW1hcy1yb2NrZXQtYXR0YWNrLWplcnVzYWxlbS1vcGVyYXRpb24tYWwtYXFzYS1mbG9vZC1iZW5qYW1pbi1uZXRhbnlhaHUtbGF0ZXN0LXVwZGF0ZXMtZGF5LTExL2FtcF9saXZlYmxvZy8xMDQ0ODA5OTAuY21z?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/b4pBtwVcE9sFMZU0IN0VtW48iY0Gda44mzY-zfHtpsxojlwqHbrR8W4szlDSytsF5L15Wqy8=s0-h14-rp,Economic Times,,2023-10-17 21:32:42.338563
