title,desc,date,datetime,link,img,media,site,log_date
The Diplomatic Scramble to Contain the Israel-Hamas War,,5 minutes ago,2023-10-18 11:33:24.120940,news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMTAvMTgvcG9kY2FzdHMvdGhlLWRhaWx5L2JpZGVuLWlzcmFlbC1nYXphLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tDFSwtr61ZReDD_jw6kEPWegHMSqGEHx-ZS_t-e10We-GfWEPVYkn0uLk_Vn8XQHg8wcnhMWmug=s0-h14-rp,The New York Times,,2023-10-18 11:38:21.826057
Russia-Ukraine war live: US supplying long-range missiles to Kyiv ...,,9 minutes ago,2023-10-18 11:29:24.123940,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS93b3JsZC9saXZlLzIwMjMvb2N0LzE4L3J1c3NpYS11a3JhaW5lLXdhci1saXZlLXZsYWRpbWlyLXB1dGluLXhpLWppbnBpbmctYmVpamluZy11cy1taXNzaWxlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw=s0-h14-rp,The Guardian,,2023-10-18 11:38:21.826057
Israel-Hamas war rages as Biden arrives in Tel Aviv: Live updates,,9 minutes ago,2023-10-18 11:29:24.118942,news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmNubi5jb20vbWlkZGxlZWFzdC9saXZlLW5ld3MvaXNyYWVsLW5ld3MtaGFtYXMtd2FyLTEwLTE4LTIzL2luZGV4Lmh0bWzSAVZodHRwczovL2FtcC5jbm4uY29tL2Nubi9taWRkbGVlYXN0L2xpdmUtbmV3cy9pc3JhZWwtbmV3cy1oYW1hcy13YXItMTAtMTgtMjMvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/8zdvTbISHUn-4iHkauW-_yQSGPD9BMrx9EWfqTIhiVm2YMYqhHC1HJWNDQoSOkMk0MRPYKxjIg=s0-h14-rp,CNN,,2023-10-18 11:38:21.826057
"Ukraine war live updates: U.S. providing missiles 'a mistake,' Putin says; China and Russia 'exchange views' on Israel-Hamas conflict",,49 minutes ago,2023-10-18 10:49:24.108940,news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTAvMTgvcnVzc2lhLXVrcmFpbmUtbGl2ZS11cGRhdGVzLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMy8xMC8xOC9ydXNzaWEtdWtyYWluZS1saXZlLXVwZGF0ZXMuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/UEQEAUAyUNeb8PjnoA90xCxg3IIQc2RWP_EJNe4ljoowvxl8nR62HAdD_NTXlOFzSv1HEHfC=s0-h14-rp,CNBC,,2023-10-18 11:38:21.826057
What is Islamic Jihad? The Hamas ally at war with Israel,,1 hour ago,2023-10-18 10:38:24.127940,news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL21pZGRsZS1lYXN0L3doYXQtaXMtaXNsYW1pYy1qaWhhZC1oYW1hcy1hbGx5LXdhci13aXRoLWlzcmFlbC0yMDIzLTEwLTE4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Reuters,,2023-10-18 11:38:21.826057
Tallahassee art teacher Wafa Elsaka shares story from Gaza war zone,,2 hours ago,2023-10-18 09:38:24.112939,news.google.com/./articles/CBMihAFodHRwczovL3d3dy50YWxsYWhhc3NlZS5jb20vc3RvcnkvbmV3cy9sb2NhbC8yMDIzLzEwLzE4L2NhdWdodC1pbi1hLXdhci16b25lLWEtdGFsbGFoYXNzZWUtYXJ0LXRlYWNoZXJzLXJlYWxpdHktaW4tZ2F6YS83MTIwNzQwMTAwNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.tallahassee.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Tallahassee Democrat,,2023-10-18 11:38:21.826057
Iran's Middle East allies primed as Israel-Hamas war rages,,2 hours ago,2023-10-18 09:38:24.108940,news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL21pZGRsZS1lYXN0L2lyYW5zLW1pZGRsZS1lYXN0LWFsbGllcy1wcmltZWQtaXNyYWVsLWhhbWFzLXdhci1yYWdlcy0yMDIzLTEwLTE4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Reuters,,2023-10-18 11:38:21.826057
How will the Israel-Hamas war affect oil prices and the global economy?,,2 hours ago,2023-10-18 09:38:24.107940,news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9idXNpbmVzcy8yMDIzL29jdC8xOC9pc3JhZWwtaGFtYXMtd2FyLW9pbC1wcmljZXMtZ2xvYmFsLWVjb25vbXnSAVtodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vYnVzaW5lc3MvMjAyMy9vY3QvMTgvaXNyYWVsLWhhbWFzLXdhci1vaWwtcHJpY2VzLWdsb2JhbC1lY29ub215?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw=s0-h14-rp,The Guardian,,2023-10-18 11:38:21.826057
UK politicians have got it wrong on the Israel-Hamas war. We must hold them to account,,3 hours ago,2023-10-18 08:38:24.127940,news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9nbG9iYWwvY29tbWVudGlzZnJlZS8yMDIzL29jdC8xOC91ay1wb2xpdGljaWFucy1pc3JhZWwtaGFtYXMtd2FyLXRvcnktbGFib3VyLWlzcmFlbGktY3JpbWVz0gF3aHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL2dsb2JhbC9jb21tZW50aXNmcmVlLzIwMjMvb2N0LzE4L3VrLXBvbGl0aWNpYW5zLWlzcmFlbC1oYW1hcy13YXItdG9yeS1sYWJvdXItaXNyYWVsaS1jcmltZXM?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw=s0-h14-rp,The Guardian,,2023-10-18 11:38:21.826057
What the Israel-Hamas war means for defense stocks,,3 hours ago,2023-10-18 08:38:24.119941,news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMC8xOC9pbnZlc3RpbmcvcHJlbWFya2V0LXN0b2Nrcy10cmFkaW5nL2luZGV4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/8zdvTbISHUn-4iHkauW-_yQSGPD9BMrx9EWfqTIhiVm2YMYqhHC1HJWNDQoSOkMk0MRPYKxjIg=s0-h14-rp,CNN,,2023-10-18 11:38:21.826057
Everyday ethics: What makes a just war?,,5 hours ago,2023-10-18 06:38:24.114941,news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LnJlYWRpbmdlYWdsZS5jb20vMjAyMy8xMC8xOC9ldmVyeWRheS1ldGhpY3Mtd2hhdC1tYWtlcy1hLWp1c3Qtd2FyL9IBUmh0dHBzOi8vd3d3LnJlYWRpbmdlYWdsZS5jb20vMjAyMy8xMC8xOC9ldmVyeWRheS1ldGhpY3Mtd2hhdC1tYWtlcy1hLWp1c3Qtd2FyL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/K5iYbzXwXjt_Ttd_1Bf0TqMts9v-lnlbAILSv2JSi4J9AIz9kal4dkaeuFas7qM9KAqb_x4I=s0-h14-rp,Reading Eagle,,2023-10-18 11:38:21.826057
Unity and hi-tech: Israel's tools to recover from Hamas's war - opinion,,5 hours ago,2023-10-18 06:38:24.114941,news.google.com/./articles/CBMiLGh0dHBzOi8vd3d3Lmpwb3N0LmNvbS9vcGluaW9uL2FydGljbGUtNzY4OTU30gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/TW_uvmveircXWTyroSLoydsTHhb2dG5daDv_1cLWab593SS_Zp_ky0Xf1Czw2Yb4CDOLRXjw=s0-h14-rp,The Jerusalem Post,,2023-10-18 11:38:21.826057
"Sunak in 'Legal Peril' by Aiding Gaza 'War Crimes', Warns MP-Led ...",,5 hours ago,2023-10-18 06:38:24.113939,news.google.com/./articles/CBMifmh0dHBzOi8vd3d3Lmxhdy5jb20vaW50ZXJuYXRpb25hbC1lZGl0aW9uLzIwMjMvMTAvMTgvc3VuYWstaW4tbGVnYWwtcGVyaWwtYnktYWlkaW5nLWdhemEtd2FyLWNyaW1lcy13YXJucy1tcC1sZWQtbGF3eWVyLWdyb3VwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/QjmdVj4MtYygKkfDTkPXwtKYKpStNC-FmKRnHAa-Hm5ZLPWgLkHQxy5vyHZSI9uI3F4iQbfAmw=s0-h14-rp,Law.com International,,2023-10-18 11:38:21.826057
The impact of the war between Israel and Hamas is reverberating ...,,5 hours ago,2023-10-18 06:38:24.110939,news.google.com/./articles/CBMicWh0dHBzOi8vd3d3Lnd1bmMub3JnLzIwMjMtMTAtMTgvdGhlLWltcGFjdC1vZi10aGUtd2FyLWJldHdlZW4taXNyYWVsLWFuZC1oYW1hcy1pcy1yZXZlcmJlcmF0aW5nLXRocm91Z2hvdXQtZXVyb3Bl0gF7aHR0cHM6Ly93d3cud3VuYy5vcmcvMjAyMy0xMC0xOC90aGUtaW1wYWN0LW9mLXRoZS13YXItYmV0d2Vlbi1pc3JhZWwtYW5kLWhhbWFzLWlzLXJldmVyYmVyYXRpbmctdGhyb3VnaG91dC1ldXJvcGU_X2FtcD10cnVl?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.wunc.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",WUNC,,2023-10-18 11:38:21.826057
In Brief: The War in Gaza,,5 hours ago,2023-10-18 06:38:24.104940,news.google.com/./articles/CBMiO2h0dHBzOi8vd2Fyb250aGVyb2Nrcy5jb20vMjAyMy8xMC9pbi1icmllZi10aGUtd2FyLWluLWdhemEv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/jR0X1lUCmdbNDqz4qGzaWFXu1VmsAd3ulByDf4v5pvzavi7eYUMVa_zyeDSKz7SeXqW0i3aVpok=s0-h14-rp,War On The Rocks,,2023-10-18 11:38:21.826057
