title,desc,date,datetime,link,img,media,site,log_date
"Los mejores memes de las Elecciones 2023, minuto a minuto",,7 minutes ago,2023-10-22 12:37:33.576388,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnBhZ2luYTEyLmNvbS5hci82MDEyNzgtbG9zLW1lam9yZXMtbWVtZXMtZGUtbGFzLWVsZWNjaW9uZXMtMjAyMy1lbC1odW1vci1kZS1sYXMtcmVk0gFfaHR0cHM6Ly93d3cucGFnaW5hMTIuY29tLmFyLzYwMTI3OC1sb3MtbWVqb3Jlcy1tZW1lcy1kZS1sYXMtZWxlY2Npb25lcy0yMDIzLWVsLWh1bW9yLWRlLWxhcy1yZWQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/PzZe0t_1U9gNnAf67tE4RS5svXcnmxb4CXLxbJ6jxh5HmRnioxbyz_tshyxBtU62QWYPrHwpMAM=s0-h14-rp,Página/12,,1697989470.196504
"Río Negro en elecciones 2023, minuto a minuto: ""Argentina necesita gente normal y equilibrada"", dijo Di Giácomo",,9 minutes ago,2023-10-22 12:35:33.588207,news.google.com/./articles/CBMigAFodHRwczovL3d3dy5yaW9uZWdyby5jb20uYXIvcG9saXRpY2EvcmlvLW5lZ3JvLWVuLWVsZWNjaW9uZXMtMjAyMy1taW51dG8tYS1taW51dG8tcXVpZW5lcy1zb24tbG9zLWNhbmRpZGF0b3MtYS1kaXB1dGFkby1lbi12aXZvL9IBhAFodHRwczovL3d3dy5yaW9uZWdyby5jb20uYXIvcG9saXRpY2EvcmlvLW5lZ3JvLWVuLWVsZWNjaW9uZXMtMjAyMy1taW51dG8tYS1taW51dG8tcXVpZW5lcy1zb24tbG9zLWNhbmRpZGF0b3MtYS1kaXB1dGFkby1lbi12aXZvL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/PM_y-PUfbcQk5tPzZpvtw3U1gAbKeIO_UEYwFgLYvFr_wqCYTJ6Bcl9W3IdAT0aZimdYnVCAL40=s0-h14-rp,Diario Río Negro,,1697989470.196504
Elecciones 2023: en España hay demoras y largas colas para votar,,19 minutes ago,2023-10-22 12:25:33.570923,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmVsb2JzZXJ2YWRvci5jb20udXkvbm90YS9maWxhcy1kZS1hcmdlbnRpbm9zLXBhcmEtdm90YXItZW4tZWwtZXh0ZXJpb3ItMjAyMzEwMjI4NTMxNdIBZGh0dHBzOi8vd3d3LmVsb2JzZXJ2YWRvci5jb20udXkvbm90YS9maWxhcy1kZS1hcmdlbnRpbm9zLXBhcmEtdm90YXItZW4tZWwtZXh0ZXJpb3ItMjAyMzEwMjI4NTMxNS9hbXA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/CgjX2kzcHsmG0xuVetv7Il7jomC2ASJXNpzb0Vi-WrOrzbmNBouwwIO_4XalvN5WL6J9jwF1Z_S6D9zsxRQrTpgh54qrlTD19s9f5_7swLgexs5p1KxFF1-bRCTUID6r8jDzP0zDYLMqpDpXWCP9AHVA-3IiDlo8fB1oTLtTxhEznWJfDZjgpl22XLgK=s0-h14-rp,El Observador,,1697989470.196504
"Elecciones 2023, en vivo: Ya votó el 29,6% del padrón",,35 minutes ago,2023-10-22 12:09:33.572925,news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmluZm9iYWUuY29tL3BvbGl0aWNhLzIwMjMvMTAvMjIvZWxlY2Npb25lcy0yMDIzLWVuLXZpdm8tbGEtdm90YWNpb24tZW4tYXJnZW50aW5hLW1pbnV0by1hLW1pbnV0by_SAYEBaHR0cHM6Ly93d3cuaW5mb2JhZS5jb20vcG9saXRpY2EvMjAyMy8xMC8yMi9lbGVjY2lvbmVzLTIwMjMtZW4tdml2by1sYS12b3RhY2lvbi1lbi1hcmdlbnRpbmEtbWludXRvLWEtbWludXRvLz9vdXRwdXRUeXBlPWFtcC10eXBl?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/9WpvHkhoG61irQeF2rizQCrsoOUNSaiHuno4Ttqu398ygFOPlSOExbsuZZB3XSf0h804s8t_JrRinq5eNuuNL56bfvkqhLsSvaUsD5eeGZeWmPdHCc0I7b9YSYQJZOstO0l0Z3fy10Mc2VFB60XWVLYDp7Wcd-oBs0B0qUdPJeEwKlhAf3k1UQsM27uP=s0-h14-rp,infobae,,1697989470.196504
"Con los ojos en Milei, Argentina busca a un líder que la saque de la aguda crisis",,41 minutes ago,2023-10-22 12:03:33.589228,news.google.com/./articles/CBMiyQFodHRwczovL2VsY29tZXJjaW8ucGUvbXVuZG8vbGF0aW5vYW1lcmljYS9lbGVjY2lvbmVzLWFyZ2VudGluYS0yMDIzLWphdmllci1taWxlaS1zZXJnaW8tbWFzc2EtcGF0cmljaWEtYnVsbHJpY2gtY29uLWxvcy1vam9zLWVuLW1pbGVpLWFyZ2VudGluYS1idXNjYS1hLXVuLWxpZGVyLXF1ZS1sYS1zYXF1ZS1kZS1sYS1hZ3VkYS1jcmlzaXMtbm90aWNpYS_SAdgBaHR0cHM6Ly9lbGNvbWVyY2lvLnBlL211bmRvL2xhdGlub2FtZXJpY2EvZWxlY2Npb25lcy1hcmdlbnRpbmEtMjAyMy1qYXZpZXItbWlsZWktc2VyZ2lvLW1hc3NhLXBhdHJpY2lhLWJ1bGxyaWNoLWNvbi1sb3Mtb2pvcy1lbi1taWxlaS1hcmdlbnRpbmEtYnVzY2EtYS11bi1saWRlci1xdWUtbGEtc2FxdWUtZGUtbGEtYWd1ZGEtY3Jpc2lzLW5vdGljaWEvP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/qjDeQfKEtY9BIw4FJ_VE2_-VpUZa9WucLMFaAsTJ3xc186OA41xQm1KqxIlKHfDd4ayWANapApt0s_w_ogtWKJN7VqwOyl469z_ZY_jPVc_duK8P_iDHLrnWIuCtos7NNbmQXU8f3M8Iz7auCjpSGamEzC_BEYUM1RHhLfNXeO9TJG6mlyJnEYCVMb0I=s0-h14-rp,El Comercio Perú,,1697989470.196504
"Elecciones 2023, EN VIVO: toda la cobertura y el minuto a minuto de los comicios",,44 minutes ago,2023-10-22 12:00:33.582427,news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LmNyb25pc3RhLmNvbS9lY29ub21pYS1wb2xpdGljYS9lbGVjY2lvbmVzLTIwMjMtZW4tdml2by10b2RhLWxhLWNvYmVydHVyYS15LWVsLW1pbnV0by1hLW1pbnV0by1kZS1sb3MtY29taWNpb3Mv0gF6aHR0cHM6Ly93d3cuY3JvbmlzdGEuY29tL2Vjb25vbWlhLXBvbGl0aWNhL2VsZWNjaW9uZXMtMjAyMy1lbi12aXZvLXRvZGEtbGEtY29iZXJ0dXJhLXktZWwtbWludXRvLWEtbWludXRvLWRlLWxvcy1jb21pY2lvcy8?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/wYSkXsYfFVUq7rX9E865HZJbjLmStgYgoIPUc9WDCBp9754648ooQFksWikFbrEgZlsWtO_4QQ=s0-h14-rp,El Cronista,,1697989470.196504
Elecciones presidenciales 2023 | El análisis en vivo en un domingo clave,,46 minutes ago,2023-10-22 11:58:33.580433,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5hci9wb2xpdGljYS9lbGVjY2lvbmVzLXByZXNpZGVuY2lhbGVzLTIwMjMtZWwtYW5hbGlzaXMtZW4tdml2by1lbi11bi1kb21pbmdvLWNsYXZlLW5pZDIyMTAyMDIzL9IBhwFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvcG9saXRpY2EvZWxlY2Npb25lcy1wcmVzaWRlbmNpYWxlcy0yMDIzLWVsLWFuYWxpc2lzLWVuLXZpdm8tZW4tdW4tZG9taW5nby1jbGF2ZS1uaWQyMjEwMjAyMy8_b3V0cHV0VHlwZT1hbXA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/JlRiVClPQAm6hMxz2DlUWYjYlYXzG9s9bQnor-pVQ7jbizhwo8FwmsUopYH9Dz7uLkEO2WqaBg=s0-h14-rp,LA NACION,,1697989470.196504
"◉ Elecciones 2023 en Buenos Aires: quién va ganando, boca de urna y resultados",,57 minutes ago,2023-10-22 11:47:33.573924,news.google.com/./articles/CBMiggFodHRwczovL3d3dy50eWNzcG9ydHMuY29tL2ludGVyZXMtZ2VuZXJhbC9lbGVjY2lvbmVzLTIwMjMtZW4tYnVlbm9zLWFpcmVzLXF1aWVuLXZhLWdhbmFuZG8tYm9jYS1kZS11cm5hLXktcmVzdWx0YWRvcy1pZDU0Mjg2NS5odG1s0gGGAWh0dHBzOi8vd3d3LnR5Y3Nwb3J0cy5jb20vYW1wL2ludGVyZXMtZ2VuZXJhbC9lbGVjY2lvbmVzLTIwMjMtZW4tYnVlbm9zLWFpcmVzLXF1aWVuLXZhLWdhbmFuZG8tYm9jYS1kZS11cm5hLXktcmVzdWx0YWRvcy1pZDU0Mjg2NS5odG1s?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/krO7O1kyC9DaJs4jDtUO4xNXW0t7hrg-x_sfEKAwX3ctXnVjbk75jBr5Y1P5oIdzDSYK9-m7Zb3sJIiTx3-4sDBT776-f-aGZ7UxEO6yMRpHKXZ5maoMsYTJMgBvDyWaKqM9bipNtHofstHGwH5nvhmuplxdJBhn2RVJUQaPtNcXWoBt794xPWV4tPsS=s0-h14-rp,TyC Sports,,1697989470.196504
Elecciones Argentina 2023: expresidente Mauricio Macri prevé una segunda vuelta electoral,,1 hour ago,2023-10-22 11:44:33.582427,news.google.com/./articles/CBMiqgFodHRwczovL2VsY29tZXJjaW8ucGUvbXVuZG8vbGF0aW5vYW1lcmljYS9lbGVjY2lvbmVzLWFyZ2VudGluYS0yMDIzLW1hdXJpY2lvLW1hY3JpLXByZXZlLXVuYS1zZWd1bmRhLXZ1ZWx0YS1lbGVjdG9yYWwtamF2aWVyLW1pbGVpLXNlcmdpby1tYXNzYS1wYXRyaWNpYS1idWxscmljaC1ub3RpY2lhL9IBuQFodHRwczovL2VsY29tZXJjaW8ucGUvbXVuZG8vbGF0aW5vYW1lcmljYS9lbGVjY2lvbmVzLWFyZ2VudGluYS0yMDIzLW1hdXJpY2lvLW1hY3JpLXByZXZlLXVuYS1zZWd1bmRhLXZ1ZWx0YS1lbGVjdG9yYWwtamF2aWVyLW1pbGVpLXNlcmdpby1tYXNzYS1wYXRyaWNpYS1idWxscmljaC1ub3RpY2lhLz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/qjDeQfKEtY9BIw4FJ_VE2_-VpUZa9WucLMFaAsTJ3xc186OA41xQm1KqxIlKHfDd4ayWANapApt0s_w_ogtWKJN7VqwOyl469z_ZY_jPVc_duK8P_iDHLrnWIuCtos7NNbmQXU8f3M8Iz7auCjpSGamEzC_BEYUM1RHhLfNXeO9TJG6mlyJnEYCVMb0I=s0-h14-rp,El Comercio Perú,,1697989470.196504
"Elecciones 2023: dónde voto, candidatos, discursos y resultados, minuto a minuto",,1 hour ago,2023-10-22 11:44:33.573924,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnBhZ2luYTEyLmNvbS5hci82MDEyMzEtZWxlY2Npb25lcy0yMDIzLWRvbmRlLXZvdG8tYWN0aXZpZGFkZXMtZGUtbG9zLWNhbmRpZGF0b3MtZGVj0gFfaHR0cHM6Ly93d3cucGFnaW5hMTIuY29tLmFyLzYwMTIzMS1lbGVjY2lvbmVzLTIwMjMtZG9uZGUtdm90by1hY3RpdmlkYWRlcy1kZS1sb3MtY2FuZGlkYXRvcy1kZWM?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/PzZe0t_1U9gNnAf67tE4RS5svXcnmxb4CXLxbJ6jxh5HmRnioxbyz_tshyxBtU62QWYPrHwpMAM=s0-h14-rp,Página/12,,1697989470.196504
