title,desc,date,datetime,link,img,media,site,log_date,subject
Exclusive: How a defend-forward operation gave Ukraine's SBU an ...,,2 days ago,2023-10-20 19:56:39.672733,news.google.com/./articles/CBMiSWh0dHBzOi8vdGhlcmVjb3JkLm1lZGlhL2lsbGlhLXZpdGl1ay1pbnRlcnZpZXctdWtyYWluZS1zYnUtZGVmZW5kLWZvcndhcmTSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/kviyyTbQQfx0n86zUiceIcZZUtdMH7aEuYSUVKeF7yV06uhbTDPU6z8JZrosWXBZ5Tagq4YOIA=s0-h14-rp,The Record from Recorded Future News,,1698015396.856535,supply chain war
Israel Palestine conflict threatens global supply chain,,2 days ago,2023-10-20 19:56:39.659476,news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnN0YXR0aW1lcy5jb20vY2FyZ28tdGFsZXMvaXNyYWVsLXBhbGVzdGluZS1jb25mbGljdC10aHJlYXRlbnMtZ2xvYmFsLXN1cHBseS1jaGFpbi0xMzUwMTU20gFpaHR0cHM6Ly93d3cuc3RhdHRpbWVzLmNvbS9hbXAvY2FyZ28tdGFsZXMvaXNyYWVsLXBhbGVzdGluZS1jb25mbGljdC10aHJlYXRlbnMtZ2xvYmFsLXN1cHBseS1jaGFpbi0xMzUwMTU2?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/LEy9bL6my2L3U6b7AvX-Ce1vocNVlid2N13sIJDxzehssFxCouK2tqPluEaNpi471iwzTVYdVw=s0-h14-rp,STAT Times,,1698015396.856535,supply chain war
'Urgent Need' to Understand Single Points of Failure in Digital ...,,3 days ago,2023-10-19 19:56:39.672733,news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3MvaW50ZXJuYXRpb25hbC8yMDIzLzEwLzE5Lzc0NDg3My5odG3SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.insurancejournal.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Insurance Journal,,1698015396.856535,supply chain war
Don’t hold up Israel aid to further Ukraine War funding,,3 days ago,2023-10-19 19:56:39.663477,news.google.com/./articles/CBMibWh0dHBzOi8vdGhlaGlsbC5jb20vb3Bpbmlvbi9uYXRpb25hbC1zZWN1cml0eS80MjYwODQzLWRvbnQtaG9sZC11cC1pc3JhZWwtYWlkLXRvLWZ1cnRoZXItdWtyYWluZS13YXItZnVuZGluZy_SAXFodHRwczovL3RoZWhpbGwuY29tL29waW5pb24vbmF0aW9uYWwtc2VjdXJpdHkvNDI2MDg0My1kb250LWhvbGQtdXAtaXNyYWVsLWFpZC10by1mdXJ0aGVyLXVrcmFpbmUtd2FyLWZ1bmRpbmcvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/4GIV6VDGgeRBBo20kfZHEFjDrgPr1lxJmvxB32KUmZWsAU54y7SD2dfT385jXBnmdBoBMaM29A=s0-h14-rp,The Hill,,1698015396.856535,supply chain war
Supply Chain Edge: Israel-Gaza war risks for electronics and ...,,3 days ago,2023-10-19 19:56:39.659476,news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9zdXBwbHktY2hhaW4tZWRnZS1pc3JhZWwtZ2F6YS13YXItcmlza3MtZm9yLWVsZWN0cm9uaWNzLWFuZC1oZWFsdGhjYXJlLXNwLWdsb2JhbC1hbmFseXNpcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.hellenicshippingnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Hellenic Shipping News Worldwide,,1698015396.856535,supply chain war
Israel-Hamas war prompts concerns over global fertilizer supply,,4 days ago,2023-10-18 19:56:39.660468,news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LnN1cHBseWNoYWluZGl2ZS5jb20vbmV3cy9pc3JhZWwtaGFtYXMtd2FyLWZlcnRpbGl6ZXItZXhwb3J0cy1zaGlwcGluZy1nYXphLzY5NjkzNi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/JXsnKhHgnc1cOy4-HlbKRzzKDpwfXqDzVnet8ENOWCl9lHFliXcdhHxtwd_gKkwjlUesbX1DSg=s0-h14-rp,Supply Chain Dive,,1698015396.856535,supply chain war
The Supply Impacts of the Gaza Conflict Depend on the War's ...,,4 days ago,2023-10-18 19:56:39.659476,news.google.com/./articles/CBMihgFodHRwczovL3d3dy5zdXBwbHljaGFpbmJyYWluLmNvbS9hcnRpY2xlcy8zODMwNS10aGUtc3VwcGx5LWltcGFjdHMtb2YtdGhlLWlzcmFlbGktcGFsZXN0aW5pYW4tY29uZmxpY3QtZGVwZW5kLW9uLXRoZS1lc2NhbGF0aW9uLW9mLXdhctIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.supplychainbrain.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",SupplyChainBrain,,1698015396.856535,supply chain war
USDOT Strengthens Economic Supply Chain and Defense ...,,5 days ago,2023-10-17 19:56:39.663477,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnRyYW5zcG9ydGF0aW9uLmdvdi9icmllZmluZy1yb29tL3VzZG90LXN0cmVuZ3RoZW5zLWVjb25vbWljLXN1cHBseS1jaGFpbi1hbmQtZGVmZW5zZS1vcGVyYXRpb25z0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.transportation.gov&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Department of Transportation,,1698015396.856535,supply chain war
Supply Chain Latest: Israeli Sea Ports and Air Cargo Operations,,5 days ago,2023-10-17 19:56:39.662473,news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIzLTEwLTE3L3N1cHBseS1jaGFpbi1sYXRlc3QtaXNyYWVsaS1zZWEtcG9ydHMtYW5kLWFpci1jYXJnby1vcGVyYXRpb25z0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/NGEszdY4BPKjXpMWL2fgAHQasyKjNgr-yPt6p2ELILT6x6SV6gjNxJgplAAFTRD6-UhwMebPlA=s0-h14-rp,Bloomberg,,1698015396.856535,supply chain war
Housing remains America's biggest supply chain problem,,6 days ago,2023-10-16 19:56:39.671729,news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2ZhMDg2ZGU1LWRjNjctNDU0OC1iMGJiLTY4ZWE5YjE0YTY4ZNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/281oPpXmEcGU9cV4N2LudyLEG2aBqbqG2iDoMoXUXKl-SWD4AUdO5652KVTGNmcduSWZB_7j=s0-h14-rp,Financial Times,,1698015396.856535,supply chain war
