title,desc,date,datetime,link,img,media,site
"Emory Healthcare's 1st data, analytics officer's game plan",,1 hour ago,2023-10-17 20:04:39.759881,news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJlY2tlcnNob3NwaXRhbHJldmlldy5jb20vaW5ub3ZhdGlvbi9lbW9yeS1oZWFsdGhjYXJlcy0xc3QtZGF0YS1hbmFseXRpY3Mtb2ZmaWNlcnMtZ2FtZS1wbGFuLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.beckershospitalreview.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Becker's Hospital Review,
IT Consultant Business Analyse (all genders) in Kaiserslautern ...,,2 hours ago,2023-10-17 19:04:39.779833,news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lml0LWpvdXJuYWwuZGUvMTI4Mjg1LWl0LWNvbnN1bHRhbnQtYnVzaW5lc3MtYW5hbHlzZS1hbGwtZ2VuZGVycy1pbi1rYWlzZXJzbGF1dGVybi1yaGVpbmxhbmQtcGZhbHotZ2VzdWNodC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/2Fhv_xVG4ARaYhzCZzqgXP2VtKQdXT4Q_az0ydGO3nSdTdJEjgDmqti22OewxJc3GbtpB-rE4HY=s0-h14-rp,IT-Journal.de,
"Daily AI Roundup: Biggest Machine Learning, Robotic And ...",,2 hours ago,2023-10-17 19:04:39.767827,news.google.com/./articles/CBMifGh0dHBzOi8vYWl0aG9yaXR5LmNvbS9tYWNoaW5lLWxlYXJuaW5nL2RhaWx5LWFpLXJvdW5kdXAtYmlnZ2VzdC1tYWNoaW5lLWxlYXJuaW5nLXJvYm90aWMtYW5kLWF1dG9tYXRpb24tdXBkYXRlcy0xOC1vY3QtMjAyMy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://aithority.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",AiThority,
Accenture PLC Cl A stock outperforms competitors on strong trading day,,3 hours ago,2023-10-17 18:04:39.757833,news.google.com/./articles/CBMiggFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vZGF0YS1uZXdzL2FjY2VudHVyZS1wbGMtY2wtYS1zdG9jay1vdXRwZXJmb3Jtcy1jb21wZXRpdG9ycy1vbi1zdHJvbmctdHJhZGluZy1kYXktMWQ4Njg5NzgtMGY5OTBjYjU4ODc20gGGAWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvZGF0YS1uZXdzL2FjY2VudHVyZS1wbGMtY2wtYS1zdG9jay1vdXRwZXJmb3Jtcy1jb21wZXRpdG9ycy1vbi1zdHJvbmctdHJhZGluZy1kYXktMWQ4Njg5NzgtMGY5OTBjYjU4ODc2?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/e3C-RTkUb0bknSDp54jrHU5WhmbMFt7PMIWDT4B-2XaK0xwo64ed8bQ64bSxfteh-skLrkffJQ=s0-h14-rp,MarketWatch,
"Accenture, Google Introduce New Cybersecurity Center of ...",,3 hours ago,2023-10-17 18:04:39.756828,news.google.com/./articles/CBMiY2h0dHBzOi8vZXhlY3V0aXZlZ292LmNvbS8yMDIzLzEwL2FjY2VudHVyZS1nb29nbGUtaW50cm9kdWNlLW5ldy1jeWJlcnNlY3VyaXR5LWNlbnRlci1vZi1leGNlbGxlbmNlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/4Po0BFV_L-3m1AFVmW6cvA7QqZ-e2tQw8xKdKoVS3GJoKQ4GbNyZ6LZTXoetyrT-ObR_UjQY=s0-h14-rp,Executive Gov,
Coffee Briefing Oct. 17 – New app aims to address Canada’s climate crisis; Sage launches Intacct Payroll in Canada; Ada unveils Generative Actions,,5 hours ago,2023-10-17 16:04:39.777843,news.google.com/./articles/CBMiuQFodHRwczovL3d3dy5pdHdvcmxkY2FuYWRhLmNvbS9hcnRpY2xlL2NvZmZlZS1icmllZmluZy1vY3QtMTctbmV3LWFwcC1haW1zLXRvLWFkZHJlc3MtY2FuYWRhcy1jbGltYXRlLWNyaXNpcy1zYWdlLWxhdW5jaGVzLWludGFjY3QtcGF5cm9sbC1pbi1jYW5hZGEtYWRhLXVudmVpbHMtZ2VuZXJhdGl2ZS1hY3Rpb25zLzU0OTUzNdIBvwFodHRwczovL3d3dy5pdHdvcmxkY2FuYWRhLmNvbS9hcnRpY2xlL2NvZmZlZS1icmllZmluZy1vY3QtMTctbmV3LWFwcC1haW1zLXRvLWFkZHJlc3MtY2FuYWRhcy1jbGltYXRlLWNyaXNpcy1zYWdlLWxhdW5jaGVzLWludGFjY3QtcGF5cm9sbC1pbi1jYW5hZGEtYWRhLXVudmVpbHMtZ2VuZXJhdGl2ZS1hY3Rpb25zLzU0OTUzNT9hbXA9MQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/nY1YYY49lvEzeYiU4F4dA2RcNPxqv-TWF5TW7rVUXrKjFe8iA8wUtNCmdRooZpf-cLKgkDMJrk3Ky7o7tIzp_lTwR8TA_Mqx8cmvXaFSySuw1TY9c-qSAq1rTyP6Hv05QbCQbpDthsFH4hY3xBIW_PKqnSlX0GVCiO_AUtKj4KS0-GW6WfTcOjAavM5K=s0-h14-rp,IT World Canada,
"Accenture, Google Protect Federal Agencies from Cyberattacks",,5 hours ago,2023-10-17 16:04:39.755845,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lm1zc3BhbGVydC5jb20vbmV3cy9hY2NlbnR1cmUtZ29vZ2xlLXByb3RlY3QtZmVkZXJhbC1hZ2VuY2llcy1mcm9tLWN5YmVyYXR0YWNrc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/hGuBFTLxPcoHqhCIehOF_JYy8A66w3PUCiqegDy72KdAtFR4UdPV8p0A85VFwGvdzaEfPx1qFw=s0-h14-rp,MSSP Alert,
"Upb, la nuova portavoce è Daniela Bracco - MilanoFinanza News",,6 hours ago,2023-10-17 15:04:39.773845,news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3Lm1pbGFub2ZpbmFuemEuaXQvbmV3cy91cGItbGEtbnVvdmEtcG9ydGF2b2NlLWUtZGFuaWVsYS1icmFjY28tMjAyMzEwMTcxOTM2NDY0Mzg10gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/ekiGEIK1HaedujbsRaHR-VIruiGYssvtZKQOHnNcoykaOxtK6w6YPy72-M19in6PLyj5FN1fOA=s0-h14-rp,Milano Finanza,
428695 workers registered with the Mexican Social Security Institute ...,,6 hours ago,2023-10-17 15:04:39.767827,news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnRoZXl1Y2F0YW50aW1lcy5jb20vMjAyMy8xMC80Mjg2OTUtd29ya2Vycy1yZWdpc3RlcmVkLXdpdGgtdGhlLW1leGljYW4tc29jaWFsLXNlY3VyaXR5LWluc3RpdHV0ZS1pbXNzLWluLXl1Y2F0YW4v0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.theyucatantimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The Yucatan Times,
Women in CyberSecurity (WiCyS) call for proposals for its 10th ...,,7 hours ago,2023-10-17 14:04:39.780884,news.google.com/./articles/CBMigQFodHRwczovL3d3dy5wcndlYi5jb20vcmVsZWFzZXMvd29tZW4taW4tY3liZXJzZWN1cml0eS13aWN5cy1jYWxsLWZvci1wcm9wb3NhbHMtZm9yLWl0cy0xMHRoLWFubml2ZXJzYXJ5LWNvbmZlcmVuY2UtMzAxOTU1NDYyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.prweb.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",PR Web,
